# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003741.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003741.1.all.q/CM03_F_S_S5/counts.txt" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_F_plus_R.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_WO.bam" "/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_F_plus_R.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted_dedup_WO.bam	/tmp/13003741.1.all.q/CM03_F_S_S5/S5_sorted.bam
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	648	395	253	2830
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	413	284	129	528
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	248	174	74	1368
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	36	29	7	213
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	249	212	37	356
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	18	16	2	90
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	128	79	49	393
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	631	447	184	1248
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	776	628	148	2592
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	179	130	49	545
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	5	5	0	6
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	119	108	11	136
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	108	99	9	268
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	161	81	80	179
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	2143	1710	433	5345
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	961	448	513	2396
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	24	21	3	285
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	517	367	150	752
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	318	300	18	1872
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	1060	889	171	2617
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	155	125	30	219
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	5675	4265	1410	15393
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	257	240	17	448
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	1014	761	253	3254
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	784	631	153	1346
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	587	469	118	1515
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	1913	1462	451	7219
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	297	226	71	358
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	107	96	11	1298
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	11	9	2	12
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	2161	1468	693	3284
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	1210	1011	199	4008
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	354	316	38	996
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	465	331	134	1104
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	1947	1538	409	4054
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	92	45	47	188
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	386	339	47	4200
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	695	416	279	937
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	216	195	21	1424
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	267	217	50	1490
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	4073	2671	1402	7358
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	1867	1623	244	6554
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	251	214	37	867
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	209	160	49	298
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	582	510	72	1466
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	97	78	19	145
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	333	308	25	538
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	212	174	38	511
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	1485	1221	264	2307
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	1753	1463	290	4560
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	3231	2432	799	7365
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	3481	2796	685	6143
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	855	705	150	6751
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	1406	1105	301	5147
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	2710	1868	842	5811
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	2240	1684	556	5779
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	1420	1035	385	2665
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	778	682	96	2749
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	2356	2046	310	4784
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	1533	1234	299	3636
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	121	108	13	328
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	58	46	12	95
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	843	665	178	3648
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	1946	1705	241	10220
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	125	53	72	144
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	980	803	177	2435
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	4149	3617	532	7038
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	1432	1184	248	2857
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	4087	3523	564	6982
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	1748	1137	611	5763
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	1717	1447	270	4602
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	555	483	72	2645
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	2464	1930	534	6791
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	382	276	106	841
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	2232	1680	552	3863
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	1374	1065	309	2315
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	681	559	122	3194
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	3749	2886	863	10347
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	792	596	196	1608
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	1480	1239	241	3614
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	663	476	187	1751
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	660	409	251	1869
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	2176	1717	459	9194
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	129	122	7	799
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	216	207	9	2122
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	3006	2180	826	8177
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	762	692	70	3316
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	263	245	18	2044
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	1120	929	191	2470
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	130	124	6	146
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	1680	1397	283	4985
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	156	144	12	167
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	2506	2079	427	7279
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	2021	1636	385	6035
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	1102	921	181	3908
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	401	375	26	785
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	1312	820	492	3499
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	930	785	145	1567
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	2136	1338	798	3447
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	604	558	46	2079
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	3376	2637	739	11623
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	3399	2456	943	8890
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	558	503	55	2133
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	710	555	155	2452
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	379	260	119	485
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	779	676	103	2798
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	1271	767	504	17392
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	20	16	4	24
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	99	97	2	227
Tb927.8.1350	Tb927_08_v5.1	430515	431747	-	1233	635	429	206	740
Tb927.8.1360	Tb927_08_v5.1	432137	444849	-	12713	6678	4736	1942	19276
Tb927.8.1370	Tb927_08_v5.1	444971	445514	-	544	237	185	52	300
Tb927.8.1380	Tb927_08_v5.1	445971	447330	+	1360	1157	921	236	2282
Tb927.8.1381	Tb927_08_v5.1	454111	454229	-	119	1179	959	220	1763
Tb927.8.1382	Tb927_08_v5.1	454846	454964	-	119	1089	856	233	1343
Tb927.8.1383	Tb927_08_v5.1	455582	455700	-	119	1080	870	210	1329
Tb927.8.1384	Tb927_08_v5.1	456318	456436	-	119	1240	992	248	1855
Tb927.8.1385	Tb927_08_v5.1	457054	457172	-	119	1271	1045	226	1801
Tb927.8.1386	Tb927_08_v5.1	457790	457908	-	119	1156	941	215	1733
Tb927.8.1387	Tb927_08_v5.1	458526	458644	-	119	1189	968	221	1742
Tb927.8.1388	Tb927_08_v5.1	459261	459379	-	119	1122	890	232	1676
Tb927.8.1389	Tb927_08_v5.1	460411	460441	-	31	238	166	72	282
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	690	444	246	940
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	277	210	67	338
Tb927.8.1410	Tb927_08_v5.1	464007	466752	+	2746	543	419	124	3398
Tb927.8.1420	Tb927_08_v5.1	466574	468329	+	1756	1356	1076	280	5888
Tb927.8.1430	Tb927_08_v5.1	468547	469069	+	523	28	25	3	89
Tb927.8.1440	Tb927_08_v5.1	469240	470168	+	929	345	174	171	490
Tb927.8.1450	Tb927_08_v5.1	470342	471897	+	1556	218	200	18	919
Tb927.8.1460	Tb927_08_v5.1	472418	474552	+	2135	1396	1212	184	5507
Tb927.8.1470	Tb927_08_v5.1	475840	477798	+	1959	988	668	320	1256
Tb927.8.1480	Tb927_08_v5.1	478006	485829	+	7824	3023	2417	606	8159
Tb927.8.1490	Tb927_08_v5.1	485964	486506	+	543	98	47	51	113
Tb927.8.1500	Tb927_08_v5.1	487214	490779	+	3566	1801	1352	449	6201
Tb927.8.1510	Tb927_08_v5.1	490250	494620	+	4371	1325	1078	247	2770
Tb927.8.1520	Tb927_08_v5.1	494959	496260	+	1302	926	665	261	2485
Tb927.8.1530	Tb927_08_v5.1	496560	499061	+	2502	338	279	59	1162
Tb927.8.1540	Tb927_08_v5.1	499185	501987	+	2803	701	521	180	3102
Tb927.8.1550	Tb927_08_v5.1	502944	505552	+	2609	1343	897	446	2631
Tb927.8.1560	Tb927_08_v5.1	507863	510107	+	2245	230	200	30	922
Tb927.8.1570	Tb927_08_v5.1	510700	512565	+	1866	434	401	33	2381
Tb927.8.1580	Tb927_08_v5.1	513888	515874	+	1987	1427	755	672	1620
Tb927.8.1590	Tb927_08_v5.1	516038	530691	+	14654	6342	5016	1326	24845
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	530856;531301	533364;533364	+;+	2509	892	808	84	1669
Tb927_08_v4.snoRNA.0025	Tb927_08_v5.1	533529	533606	+	78	60	17	43	69
Tb927_08_v4.snoRNA.0016	Tb927_08_v5.1	533634	533716	+	83	30	28	2	32
Tb927_08_v4.snoRNA.0006	Tb927_08_v5.1	533809	533882	+	74	19	16	3	20
Tb927_08_v4.snoRNA.0001	Tb927_08_v5.1	533918	534035	+	118	155	144	11	304
Tb927_08_v4.snoRNA.0026	Tb927_08_v5.1	534178	534255	+	78	61	8	53	74
Tb927_08_v4.snoRNA.0017	Tb927_08_v5.1	534283	534365	+	83	33	26	7	35
Tb927_08_v4.snoRNA.0007	Tb927_08_v5.1	534458	534531	+	74	10	9	1	11
Tb927_08_v4.snoRNA.0002	Tb927_08_v5.1	534567	534684	+	118	87	84	3	108
Tb927_08_v4.snoRNA.0027	Tb927_08_v5.1	534827	534904	+	78	53	14	39	61
Tb927_08_v4.snoRNA.0018	Tb927_08_v5.1	534932	535014	+	83	26	23	3	27
Tb927_08_v4.snoRNA.0008	Tb927_08_v5.1	535107	535180	+	74	16	15	1	16
Tb927_08_v4.snoRNA.0003	Tb927_08_v5.1	535216	535333	+	118	186	176	10	349
Tb927_08_v4.snoRNA.0028	Tb927_08_v5.1	535476	535553	+	78	66	14	52	83
Tb927_08_v4.snoRNA.0019	Tb927_08_v5.1	535581	535663	+	83	27	24	3	27
Tb927_08_v4.snoRNA.0009	Tb927_08_v5.1	535756	535829	+	74	12	12	0	12
Tb927_08_v4.snoRNA.0004	Tb927_08_v5.1	535865	535982	+	118	69	63	6	85
Tb927_08_v4.snoRNA.0029	Tb927_08_v5.1	536125	536202	+	78	60	14	46	68
Tb927_08_v4.snoRNA.0020	Tb927_08_v5.1	536230	536312	+	83	34	29	5	36
Tb927_08_v4.snoRNA.0010	Tb927_08_v5.1	536405	536478	+	74	17	14	3	18
Tb927_08_v4.snoRNA.0005	Tb927_08_v5.1	536514	536631	+	118	103	97	6	212
Tb927_08_v4.snoRNA.0030	Tb927_08_v5.1	536774	536851	+	78	31	24	7	37
Tb927_08_v4.snoRNA.0021	Tb927_08_v5.1	536879	536961	+	83	51	40	11	62
Tb927.8.1610	Tb927_08_v5.1	537132	538806	+	1675	1397	1032	365	2232
Tb927.8.1620	Tb927_08_v5.1	539325	541194	+	1870	1672	1365	307	2625
Tb927.8.1630	Tb927_08_v5.1	541518	543592	+	2075	1726	1399	327	2974
Tb927.8.1640	Tb927_08_v5.1	543711	546361	+	2651	1585	1274	311	2579
Tb927.8.1650	Tb927_08_v5.1	545906	548434	+	2529	737	674	63	3003
Tb927_08_v4.snoRNA.0011	Tb927_08_v5.1	549674	549769	+	96	3	3	0	3
Tb927_08_v4.snoRNA.0012	Tb927_08_v5.1	549815	549881	+	67	23	23	0	25
Tb927_08_v4.snoRNA.0031	Tb927_08_v5.1	549933	550026	+	94	51	45	6	52
Tb927_08_v4.snoRNA.0015	Tb927_08_v5.1	550193	550259	+	67	56	39	17	78
Tb927_08_v4.snoRNA.0033	Tb927_08_v5.1	550311	550404	+	94	18	16	2	19
Tb927_08_v4.snoRNA.0013	Tb927_08_v5.1	550571	550637	+	67	98	89	9	484
Tb927_08_v4.snoRNA.0032	Tb927_08_v5.1	550689	550782	+	94	87	70	17	114
Tb927_08_v4.snoRNA.0014	Tb927_08_v5.1	550949	551015	+	67	21	17	4	43
Tb927.8.1660	Tb927_08_v5.1	552495	552753	+	259	386	270	116	15895
Tb927.8.1665	Tb927_08_v5.1	555012	557581	-	2570	1500	1236	264	5301
Tb927.8.1670	Tb927_08_v5.1	558245	560376	-	2132	808	704	104	2013
Tb927.8.1680	Tb927_08_v5.1	560516	561559	-	1044	206	181	25	415
Tb927.8.1690	Tb927_08_v5.1	561674	564289	-	2616	653	617	36	2302
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566839;567149	-;-	2370	706	594	112	2197
Tb927.8.1710	Tb927_08_v5.1	567268	569337	-	2070	1447	996	451	3241
Tb927.8.1720	Tb927_08_v5.1	569436	572297	-	2862	1117	693	424	1480
Tb927.8.1730	Tb927_08_v5.1	572606	573019	-	414	324	245	79	474
Tb927.8.1740	Tb927_08_v5.1	573200	575944	-	2745	673	577	96	1623
Tb927.8.1750	Tb927_08_v5.1	576397	577010	-	614	29	24	5	211
Tb927.8.1760	Tb927_08_v5.1	576941	577904	-	964	65	58	7	74
Tb927.8.1770	Tb927_08_v5.1	577615	581715	-	4101	1392	1159	233	2322
Tb927.8.1780	Tb927_08_v5.1	581859	587851	-	5993	3196	2448	748	10914
Tb927.8.1790	Tb927_08_v5.1	588516	589644	-	1129	128	113	15	173
Tb927.8.1800	Tb927_08_v5.1	589559	591527	-	1969	1277	895	382	3552
Tb927.8.1810	Tb927_08_v5.1	591914	592911	-	998	405	359	46	550
Tb927.8.1820	Tb927_08_v5.1	593024	594551	-	1528	810	669	141	2251
Tb927.8.1830	Tb927_08_v5.1	594809	596615	-	1807	784	728	56	2651
Tb927.8.1840	Tb927_08_v5.1	596740	603777	-	7038	2741	2175	566	5481
Tb927.8.1850	Tb927_08_v5.1	603912	605492	-	1581	392	345	47	1196
Tb927.8.1860	Tb927_08_v5.1	605805	608991	-	3187	2598	1450	1148	6059
Tb927.8.1870	Tb927_08_v5.1	610427	612542	-	2116	265	213	52	753
Tb927.8.1880	Tb927_08_v5.1	612682	613543	-	862	1034	903	131	5038
Tb927.8.1890	Tb927_08_v5.1	613650	615425	-	1776	1381	1007	374	4414
Tb927.8.1900	Tb927_08_v5.1	615577	617486	-	1910	91	63	28	452
Tb927.8.1910	Tb927_08_v5.1	617619	619799	-	2181	679	552	127	1661
Tb927.8.1920	Tb927_08_v5.1	619932	620945	-	1014	11	8	3	52
Tb927.8.1930	Tb927_08_v5.1	621083	621943	-	861	4	1	3	17
Tb927.8.1940	Tb927_08_v5.1	622032	624115	-	2084	37	22	15	329
Tb927.8.1945	Tb927_08_v5.1	626529	626988	+	460	148	78	70	165
Tb927.8.1950	Tb927_08_v5.1	627247	629565	+	2319	406	349	57	665
Tb927.8.1960	Tb927_08_v5.1	629729	631101	+	1373	557	490	67	1575
Tb927.8.1970	Tb927_08_v5.1	631237	632303	+	1067	463	421	42	1384
Tb927.8.1980	Tb927_08_v5.1	632474	634163	+	1690	563	516	47	3016
Tb927.8.1990	Tb927_08_v5.1	634099	635163	+	1065	158	141	17	373
Tb927.8.2000	Tb927_08_v5.1	635321	636120	+	800	762	695	67	2410
Tb927.8.2010	Tb927_08_v5.1	636394	637062	+	669	547	273	274	742
Tb927.8.2020	Tb927_08_v5.1	637229	638533	+	1305	627	378	249	1510
Tb927.8.2030	Tb927_08_v5.1	638651	640119	+	1469	479	392	87	1749
Tb927.8.2040	Tb927_08_v5.1	640593	642333	+	1741	962	531	431	1232
Tb927.8.2050	Tb927_08_v5.1	642480	643754	+	1275	394	367	27	9087
Tb927.8.2060	Tb927_08_v5.1	644161	653337	+	9177	5621	4100	1521	14937
Tb927_08_v4.snoRNA.0022	Tb927_08_v5.1	653501	653583	+	83	69	24	45	72
Tb927_08_v4.snoRNA.0035	Tb927_08_v5.1	653618	653704	+	87	158	143	15	198
Tb927_08_v4.snoRNA.0037	Tb927_08_v5.1	653762	653843	+	82	49	38	11	59
Tb927_08_v4.snoRNA.0040	Tb927_08_v5.1	654055	654119	+	65	40	31	9	48
Tb927.8.2070	Tb927_08_v5.1	654313	654964	+	652	211	158	53	230
Tb927_08_v4.snoRNA.0041	Tb927_08_v5.1	655717	655781	+	65	41	38	3	43
Tb927.8.2080	Tb927_08_v5.1	655975	656584	+	610	277	156	121	654
Tb927_08_v4.snoRNA.0023	Tb927_08_v5.1	657195	657277	+	83	150	125	25	309
Tb927_08_v4.snoRNA.0036	Tb927_08_v5.1	657312	657398	+	87	140	118	22	208
Tb927_08_v4.snoRNA.0038	Tb927_08_v5.1	657456	657537	+	82	135	131	4	206
Tb927.8.2090	Tb927_08_v5.1	657734	658456	+	723	253	220	33	810
Tb927.8.2100	Tb927_08_v5.1	658648	659149	+	502	144	134	10	590
Tb927.8.2110	Tb927_08_v5.1	659735	661241	+	1507	270	256	14	2700
Tb927.8.2120	Tb927_08_v5.1	661416	662811	+	1396	812	529	283	1603
Tb927.8.2130	Tb927_08_v5.1	662944	664613	+	1670	1033	913	120	8827
Tb927.8.2140	Tb927_08_v5.1	665104	665812	+	709	119	100	19	128
Tb927.8.2150	Tb927_08_v5.1	666282	667505	+	1224	148	104	44	435
Tb927.8.2160	Tb927_08_v5.1	667647	673216	+	5570	2592	1841	751	6033
Tb927.8.2170	Tb927_08_v5.1	673583	673919	+	337	247	216	31	475
Tb927.8.2180	Tb927_08_v5.1	674219	674976	+	758	231	150	81	745
Tb927.8.2185	Tb927_08_v5.1	675099	675515	+	417	27	8	19	28
Tb927.8.2190	Tb927_08_v5.1	675639	676274	+	636	58	33	25	140
Tb927.8.2200	Tb927_08_v5.1	676377	677388	+	1012	271	225	46	1320
Tb927.8.2210	Tb927_08_v5.1	677827	678743	+	917	388	353	35	1257
Tb927.8.2220	Tb927_08_v5.1	679691	684449	+	4759	2639	2142	497	12998
Tb927.8.2230	Tb927_08_v5.1	684910	685950	+	1041	272	236	36	585
Tb927.8.2240	Tb927_08_v5.1	686457	687904	+	1448	682	565	117	1346
Tb927.8.2250	Tb927_08_v5.1	688087	690689	+	2603	958	749	209	1980
Tb927_08_v4.snoRNA.0024	Tb927_08_v5.1	691295	691377	+	83	11	5	6	11
Tb927_08_v4.snoRNA.0034	Tb927_08_v5.1	691412	691498	+	87	54	48	6	61
Tb927_08_v4.snoRNA.0039	Tb927_08_v5.1	691556	691637	+	82	67	58	9	83
Tb927_08_v4.snoRNA.0042	Tb927_08_v5.1	691849	691913	+	65	18	15	3	27
Tb927.8.2260	Tb927_08_v5.1	692107	693116	+	1010	1002	814	188	1649
Tb927_08_v4.snoRNA.0043	Tb927_08_v5.1	693512	693576	+	65	25	22	3	26
Tb927.8.2270	Tb927_08_v5.1	693770	694421	+	652	346	291	55	953
Tb927_08_v4.snoRNA.0044	Tb927_08_v5.1	695175	695239	+	65	20	18	2	20
Tb927.8.2280	Tb927_08_v5.1	695433	696930	+	1498	1209	1058	151	2360
Tb927.8.2290	Tb927_08_v5.1	696623	697976	+	1354	438	383	55	594
Tb927.8.2300	Tb927_08_v5.1	698120	699347	+	1228	447	394	53	782
Tb927.8.2310	Tb927_08_v5.1	699459	699962	+	504	451	419	32	705
Tb927.8.2320	Tb927_08_v5.1	700426	701455	+	1030	291	266	25	580
Tb927.8.2330	Tb927_08_v5.1	701043	703234	+	2192	309	284	25	435
Tb927.8.2340	Tb927_08_v5.1	703241	703794	+	554	650	455	195	950
