# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003740.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/counts.txt" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam" "/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_F_plus_R.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted_dedup_WO.bam	/tmp/13003740.1.all.q/CM03_G_G2M_S6/S6_sorted.bam
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	294	244	50	819
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	461	417	44	1211
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	218	181	37	371
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	5337	3829	1508	10841
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	632	368	264	930
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	443	353	90	1179
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	929	481	448	1112
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	655	402	253	929
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	1128	817	311	2808
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	257	217	40	431
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	1142	732	410	2327
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	902	776	126	1236
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	800	465	335	2927
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	411	277	134	524
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	246	146	100	1050
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	43	37	6	272
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	248	204	44	342
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	19	17	2	88
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	163	110	53	769
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	445	309	136	667
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	521	391	130	1036
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	181	148	33	492
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	1	1	0	1
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	138	124	14	186
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	148	125	23	232
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	147	54	93	179
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	1287	958	329	2760
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	942	369	573	1834
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	25	20	5	217
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	460	286	174	559
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	443	395	48	1780
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	739	610	129	2027
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	33	19	14	47
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	5075	3546	1529	11614
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	352	293	59	552
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	830	612	218	2302
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	985	695	290	1728
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	437	327	110	852
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	1848	1260	588	5307
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	249	165	84	301
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	127	111	16	997
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	9	9	0	9
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	1883	1175	708	2428
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	612	493	119	2328
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	349	279	70	1154
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	288	162	126	562
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	1276	978	298	2242
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	65	22	43	135
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	398	325	73	3712
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	687	352	335	849
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	202	172	30	923
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	424	310	114	1426
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	3578	2090	1488	6398
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	1443	1134	309	4423
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	317	252	65	860
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	286	171	115	351
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	606	503	103	1207
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	142	110	32	344
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	257	225	32	383
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	161	136	25	386
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	1281	1003	278	1870
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	1307	1012	295	2938
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	2488	1768	720	6147
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	2929	2190	739	4918
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	651	500	151	5250
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	1117	820	297	2579
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	2385	1525	860	4131
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	1880	1280	600	4432
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	1099	801	298	2247
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	628	543	85	1568
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	2033	1629	404	4106
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	1157	929	228	2248
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	254	241	13	700
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	120	104	16	183
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	877	733	144	2897
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	2019	1733	286	8966
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	122	65	57	240
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	898	631	267	1840
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	5352	4167	1185	7815
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	1297	976	321	2314
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	5368	4130	1238	7707
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	1455	955	500	5653
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	1090	895	195	3482
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	392	308	84	923
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	2197	1682	515	5604
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	306	198	108	481
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	1769	1229	540	2298
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	1333	1011	322	2460
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	625	489	136	2328
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	2977	2164	813	6951
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	719	488	231	1225
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	1226	960	266	2300
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	763	460	303	1712
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	605	359	246	2023
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	1492	1010	482	3982
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	55	44	11	369
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	169	161	8	1374
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	2538	1763	775	6435
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	479	432	47	1906
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	234	218	16	1156
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	828	646	182	1589
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	109	91	18	121
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	1563	1212	351	4163
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	112	101	11	128
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	2259	1785	474	5630
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	1685	1297	388	3806
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	733	604	129	2002
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	307	283	24	663
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	1221	677	544	3215
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	468	366	102	541
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	1634	902	732	2134
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	393	362	31	1030
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	3178	2359	819	8744
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	2905	1976	929	6763
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	398	340	58	1149
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	754	605	149	2804
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	376	236	140	448
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	629	538	91	2507
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	1112	666	446	20308
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	18	17	1	23
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	55	54	1	271
Tb927.8.1350	Tb927_08_v5.1	430515	431747	-	1233	502	287	215	565
Tb927.8.1360	Tb927_08_v5.1	432137	444849	-	12713	5549	3794	1755	12041
Tb927.8.1370	Tb927_08_v5.1	444971	445514	-	544	172	144	28	234
Tb927.8.1380	Tb927_08_v5.1	445971	447330	+	1360	843	634	209	1381
Tb927.8.1381	Tb927_08_v5.1	454111	454229	-	119	862	654	208	1253
Tb927.8.1382	Tb927_08_v5.1	454846	454964	-	119	801	569	232	982
Tb927.8.1383	Tb927_08_v5.1	455582	455700	-	119	817	630	187	982
Tb927.8.1384	Tb927_08_v5.1	456318	456436	-	119	842	656	186	1199
Tb927.8.1385	Tb927_08_v5.1	457054	457172	-	119	907	718	189	1308
Tb927.8.1386	Tb927_08_v5.1	457790	457908	-	119	874	680	194	1226
Tb927.8.1387	Tb927_08_v5.1	458526	458644	-	119	848	667	181	1219
Tb927.8.1388	Tb927_08_v5.1	459261	459379	-	119	826	626	200	1155
Tb927.8.1389	Tb927_08_v5.1	460411	460441	-	31	175	107	68	194
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	646	406	240	860
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	244	132	112	252
Tb927.8.1410	Tb927_08_v5.1	464007	466752	+	2746	346	247	99	1662
Tb927.8.1420	Tb927_08_v5.1	466574	468329	+	1756	1446	1051	395	5123
Tb927.8.1430	Tb927_08_v5.1	468547	469069	+	523	26	19	7	95
Tb927.8.1440	Tb927_08_v5.1	469240	470168	+	929	359	191	168	468
Tb927.8.1450	Tb927_08_v5.1	470342	471897	+	1556	268	224	44	743
Tb927.8.1460	Tb927_08_v5.1	472418	474552	+	2135	1216	1027	189	3576
Tb927.8.1470	Tb927_08_v5.1	475840	477798	+	1959	790	436	354	936
Tb927.8.1480	Tb927_08_v5.1	478006	485829	+	7824	2520	1920	600	5752
Tb927.8.1490	Tb927_08_v5.1	485964	486506	+	543	121	80	41	154
Tb927.8.1500	Tb927_08_v5.1	487214	490779	+	3566	1939	1408	531	5564
Tb927.8.1510	Tb927_08_v5.1	490250	494620	+	4371	828	633	195	1772
Tb927.8.1520	Tb927_08_v5.1	494959	496260	+	1302	741	535	206	1751
Tb927.8.1530	Tb927_08_v5.1	496560	499061	+	2502	271	236	35	924
Tb927.8.1540	Tb927_08_v5.1	499185	501987	+	2803	586	401	185	2079
Tb927.8.1550	Tb927_08_v5.1	502944	505552	+	2609	1443	982	461	2576
Tb927.8.1560	Tb927_08_v5.1	507863	510107	+	2245	298	267	31	1014
Tb927.8.1570	Tb927_08_v5.1	510700	512565	+	1866	303	268	35	1301
Tb927.8.1580	Tb927_08_v5.1	513888	515874	+	1987	1131	572	559	1235
Tb927.8.1590	Tb927_08_v5.1	516038	530691	+	14654	4866	3435	1431	12142
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	530856;531301	533364;533364	+;+	2509	488	396	92	1104
Tb927_08_v4.snoRNA.0025	Tb927_08_v5.1	533529	533606	+	78	54	23	31	57
Tb927_08_v4.snoRNA.0016	Tb927_08_v5.1	533634	533716	+	83	26	22	4	26
Tb927_08_v4.snoRNA.0006	Tb927_08_v5.1	533809	533882	+	74	24	19	5	25
Tb927_08_v4.snoRNA.0001	Tb927_08_v5.1	533918	534035	+	118	135	108	27	207
Tb927_08_v4.snoRNA.0026	Tb927_08_v5.1	534178	534255	+	78	54	19	35	70
Tb927_08_v4.snoRNA.0017	Tb927_08_v5.1	534283	534365	+	83	33	28	5	34
Tb927_08_v4.snoRNA.0007	Tb927_08_v5.1	534458	534531	+	74	18	17	1	18
Tb927_08_v4.snoRNA.0002	Tb927_08_v5.1	534567	534684	+	118	52	43	9	57
Tb927_08_v4.snoRNA.0027	Tb927_08_v5.1	534827	534904	+	78	49	16	33	60
Tb927_08_v4.snoRNA.0018	Tb927_08_v5.1	534932	535014	+	83	27	21	6	27
Tb927_08_v4.snoRNA.0008	Tb927_08_v5.1	535107	535180	+	74	22	16	6	22
Tb927_08_v4.snoRNA.0003	Tb927_08_v5.1	535216	535333	+	118	138	107	31	208
Tb927_08_v4.snoRNA.0028	Tb927_08_v5.1	535476	535553	+	78	41	14	27	51
Tb927_08_v4.snoRNA.0019	Tb927_08_v5.1	535581	535663	+	83	26	22	4	27
Tb927_08_v4.snoRNA.0009	Tb927_08_v5.1	535756	535829	+	74	24	20	4	28
Tb927_08_v4.snoRNA.0004	Tb927_08_v5.1	535865	535982	+	118	61	51	10	67
Tb927_08_v4.snoRNA.0029	Tb927_08_v5.1	536125	536202	+	78	49	14	35	59
Tb927_08_v4.snoRNA.0020	Tb927_08_v5.1	536230	536312	+	83	30	25	5	31
Tb927_08_v4.snoRNA.0010	Tb927_08_v5.1	536405	536478	+	74	13	8	5	14
Tb927_08_v4.snoRNA.0005	Tb927_08_v5.1	536514	536631	+	118	85	75	10	161
Tb927_08_v4.snoRNA.0030	Tb927_08_v5.1	536774	536851	+	78	32	20	12	38
Tb927_08_v4.snoRNA.0021	Tb927_08_v5.1	536879	536961	+	83	66	40	26	70
Tb927.8.1610	Tb927_08_v5.1	537132	538806	+	1675	1138	817	321	1667
Tb927.8.1620	Tb927_08_v5.1	539325	541194	+	1870	1231	904	327	1873
Tb927.8.1630	Tb927_08_v5.1	541518	543592	+	2075	1288	984	304	2105
Tb927.8.1640	Tb927_08_v5.1	543711	546361	+	2651	1298	993	305	1907
Tb927.8.1650	Tb927_08_v5.1	545906	548434	+	2529	673	608	65	2664
Tb927_08_v4.snoRNA.0011	Tb927_08_v5.1	549674	549769	+	96	0	0	0	0
Tb927_08_v4.snoRNA.0012	Tb927_08_v5.1	549815	549881	+	67	12	10	2	14
Tb927_08_v4.snoRNA.0031	Tb927_08_v5.1	549933	550026	+	94	53	37	16	56
Tb927_08_v4.snoRNA.0015	Tb927_08_v5.1	550193	550259	+	67	27	19	8	35
Tb927_08_v4.snoRNA.0033	Tb927_08_v5.1	550311	550404	+	94	22	18	4	23
Tb927_08_v4.snoRNA.0013	Tb927_08_v5.1	550571	550637	+	67	71	58	13	310
Tb927_08_v4.snoRNA.0032	Tb927_08_v5.1	550689	550782	+	94	77	57	20	96
Tb927_08_v4.snoRNA.0014	Tb927_08_v5.1	550949	551015	+	67	29	27	2	35
Tb927.8.1660	Tb927_08_v5.1	552495	552753	+	259	237	156	81	4194
Tb927.8.1665	Tb927_08_v5.1	555012	557581	-	2570	1158	905	253	3163
Tb927.8.1670	Tb927_08_v5.1	558245	560376	-	2132	734	604	130	1477
Tb927.8.1680	Tb927_08_v5.1	560516	561559	-	1044	127	106	21	218
Tb927.8.1690	Tb927_08_v5.1	561674	564289	-	2616	468	426	42	1266
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566839;567149	-;-	2370	567	441	126	1604
Tb927.8.1710	Tb927_08_v5.1	567268	569337	-	2070	1073	681	392	2120
Tb927.8.1720	Tb927_08_v5.1	569436	572297	-	2862	818	478	340	1160
Tb927.8.1730	Tb927_08_v5.1	572606	573019	-	414	332	248	84	554
Tb927.8.1740	Tb927_08_v5.1	573200	575944	-	2745	496	414	82	871
Tb927.8.1750	Tb927_08_v5.1	576397	577010	-	614	46	42	4	212
Tb927.8.1760	Tb927_08_v5.1	576941	577904	-	964	29	25	4	29
Tb927.8.1770	Tb927_08_v5.1	577615	581715	-	4101	1391	1044	347	1955
Tb927.8.1780	Tb927_08_v5.1	581859	587851	-	5993	2851	2032	819	8519
Tb927.8.1790	Tb927_08_v5.1	588516	589644	-	1129	154	121	33	202
Tb927.8.1800	Tb927_08_v5.1	589559	591527	-	1969	1322	861	461	3090
Tb927.8.1810	Tb927_08_v5.1	591914	592911	-	998	335	289	46	420
Tb927.8.1820	Tb927_08_v5.1	593024	594551	-	1528	473	384	89	834
Tb927.8.1830	Tb927_08_v5.1	594809	596615	-	1807	594	552	42	1311
Tb927.8.1840	Tb927_08_v5.1	596740	603777	-	7038	2450	1940	510	4787
Tb927.8.1850	Tb927_08_v5.1	603912	605492	-	1581	371	306	65	881
Tb927.8.1860	Tb927_08_v5.1	605805	608991	-	3187	2164	1071	1093	4065
Tb927.8.1870	Tb927_08_v5.1	610427	612542	-	2116	381	290	91	729
Tb927.8.1880	Tb927_08_v5.1	612682	613543	-	862	915	760	155	3906
Tb927.8.1890	Tb927_08_v5.1	613650	615425	-	1776	1485	1008	477	4377
Tb927.8.1900	Tb927_08_v5.1	615577	617486	-	1910	219	163	56	885
Tb927.8.1910	Tb927_08_v5.1	617619	619799	-	2181	363	289	74	759
Tb927.8.1920	Tb927_08_v5.1	619932	620945	-	1014	24	21	3	169
Tb927.8.1930	Tb927_08_v5.1	621083	621943	-	861	4	2	2	26
Tb927.8.1940	Tb927_08_v5.1	622032	624115	-	2084	39	24	15	245
Tb927.8.1945	Tb927_08_v5.1	626529	626988	+	460	144	69	75	165
Tb927.8.1950	Tb927_08_v5.1	627247	629565	+	2319	587	439	148	1069
Tb927.8.1960	Tb927_08_v5.1	629729	631101	+	1373	466	395	71	1137
Tb927.8.1970	Tb927_08_v5.1	631237	632303	+	1067	386	325	61	1064
Tb927.8.1980	Tb927_08_v5.1	632474	634163	+	1690	429	354	75	2143
Tb927.8.1990	Tb927_08_v5.1	634099	635163	+	1065	99	91	8	279
Tb927.8.2000	Tb927_08_v5.1	635321	636120	+	800	577	510	67	1340
Tb927.8.2010	Tb927_08_v5.1	636394	637062	+	669	490	209	281	592
Tb927.8.2020	Tb927_08_v5.1	637229	638533	+	1305	647	330	317	1244
Tb927.8.2030	Tb927_08_v5.1	638651	640119	+	1469	449	360	89	1232
Tb927.8.2040	Tb927_08_v5.1	640593	642333	+	1741	910	456	454	1106
Tb927.8.2050	Tb927_08_v5.1	642480	643754	+	1275	346	328	18	7058
Tb927.8.2060	Tb927_08_v5.1	644161	653337	+	9177	4762	3221	1541	10128
Tb927_08_v4.snoRNA.0022	Tb927_08_v5.1	653501	653583	+	83	73	22	51	83
Tb927_08_v4.snoRNA.0035	Tb927_08_v5.1	653618	653704	+	87	97	77	20	103
Tb927_08_v4.snoRNA.0037	Tb927_08_v5.1	653762	653843	+	82	51	37	14	58
Tb927_08_v4.snoRNA.0040	Tb927_08_v5.1	654055	654119	+	65	32	24	8	41
Tb927.8.2070	Tb927_08_v5.1	654313	654964	+	652	185	128	57	200
Tb927_08_v4.snoRNA.0041	Tb927_08_v5.1	655717	655781	+	65	43	41	2	55
Tb927.8.2080	Tb927_08_v5.1	655975	656584	+	610	294	142	152	574
Tb927_08_v4.snoRNA.0023	Tb927_08_v5.1	657195	657277	+	83	160	91	69	246
Tb927_08_v4.snoRNA.0036	Tb927_08_v5.1	657312	657398	+	87	125	102	23	155
Tb927_08_v4.snoRNA.0038	Tb927_08_v5.1	657456	657537	+	82	185	162	23	256
Tb927.8.2090	Tb927_08_v5.1	657734	658456	+	723	446	343	103	1339
Tb927.8.2100	Tb927_08_v5.1	658648	659149	+	502	52	49	3	356
Tb927.8.2110	Tb927_08_v5.1	659735	661241	+	1507	306	284	22	2424
Tb927.8.2120	Tb927_08_v5.1	661416	662811	+	1396	638	343	295	1280
Tb927.8.2130	Tb927_08_v5.1	662944	664613	+	1670	974	794	180	5178
Tb927.8.2140	Tb927_08_v5.1	665104	665812	+	709	122	81	41	137
Tb927.8.2150	Tb927_08_v5.1	666282	667505	+	1224	61	34	27	123
Tb927.8.2160	Tb927_08_v5.1	667647	673216	+	5570	2108	1352	756	3864
Tb927.8.2170	Tb927_08_v5.1	673583	673919	+	337	192	160	32	356
Tb927.8.2180	Tb927_08_v5.1	674219	674976	+	758	147	94	53	313
Tb927.8.2185	Tb927_08_v5.1	675099	675515	+	417	55	17	38	56
Tb927.8.2190	Tb927_08_v5.1	675639	676274	+	636	76	44	32	193
Tb927.8.2200	Tb927_08_v5.1	676377	677388	+	1012	201	151	50	985
Tb927.8.2210	Tb927_08_v5.1	677827	678743	+	917	350	296	54	1616
Tb927.8.2220	Tb927_08_v5.1	679691	684449	+	4759	2427	1906	521	8391
Tb927.8.2230	Tb927_08_v5.1	684910	685950	+	1041	284	248	36	475
Tb927.8.2240	Tb927_08_v5.1	686457	687904	+	1448	633	495	138	1011
Tb927.8.2250	Tb927_08_v5.1	688087	690689	+	2603	839	655	184	1317
Tb927_08_v4.snoRNA.0024	Tb927_08_v5.1	691295	691377	+	83	11	5	6	11
Tb927_08_v4.snoRNA.0034	Tb927_08_v5.1	691412	691498	+	87	27	26	1	31
Tb927_08_v4.snoRNA.0039	Tb927_08_v5.1	691556	691637	+	82	53	40	13	57
Tb927_08_v4.snoRNA.0042	Tb927_08_v5.1	691849	691913	+	65	37	22	15	51
Tb927.8.2260	Tb927_08_v5.1	692107	693116	+	1010	894	690	204	1340
Tb927_08_v4.snoRNA.0043	Tb927_08_v5.1	693512	693576	+	65	12	10	2	21
Tb927.8.2270	Tb927_08_v5.1	693770	694421	+	652	351	271	80	686
Tb927_08_v4.snoRNA.0044	Tb927_08_v5.1	695175	695239	+	65	23	19	4	27
Tb927.8.2280	Tb927_08_v5.1	695433	696930	+	1498	1208	983	225	2130
Tb927.8.2290	Tb927_08_v5.1	696623	697976	+	1354	219	187	32	260
Tb927.8.2300	Tb927_08_v5.1	698120	699347	+	1228	639	525	114	1242
Tb927.8.2310	Tb927_08_v5.1	699459	699962	+	504	258	226	32	321
Tb927.8.2320	Tb927_08_v5.1	700426	701455	+	1030	272	234	38	449
Tb927.8.2330	Tb927_08_v5.1	701043	703234	+	2192	374	337	37	467
Tb927.8.2340	Tb927_08_v5.1	703241	703794	+	554	740	432	308	907
