# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003742.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003742.1.all.q/CM03_E_G1_S4/counts.txt" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam" "/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_F_plus_R.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted_dedup_WO.bam	/tmp/13003742.1.all.q/CM03_E_G1_S4/S4_sorted.bam
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	312	263	49	458
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	21	20	1	212
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	236	166	70	769
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	730	497	233	1824
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	1234	911	323	3501
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	344	244	100	733
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	8	8	0	8
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	202	179	23	279
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	232	190	42	377
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	281	113	168	342
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	2484	1897	587	5496
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	1026	415	611	2487
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	32	17	15	45
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	786	549	237	1233
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	569	508	61	2775
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	1426	1164	262	3300
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	134	96	38	176
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	7287	5216	2071	18872
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	506	437	69	1080
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	1433	988	445	3180
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	706	555	151	1171
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	720	533	187	1438
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	2368	1673	695	6796
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	387	273	114	502
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	217	209	8	2700
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	11	11	0	12
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	3699	2236	1463	5479
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	744	534	210	3377
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	527	407	120	1771
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	622	411	211	1426
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	2887	2226	661	5810
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	49	28	21	65
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	517	462	55	3936
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	682	544	138	901
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	372	327	45	1478
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	300	223	77	1897
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	5238	2951	2287	9957
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	1640	1480	160	6093
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	342	288	54	755
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	382	237	145	497
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	1004	827	177	2149
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	276	209	67	622
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	351	324	27	524
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	233	183	50	561
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	2048	1521	527	3137
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	2051	1583	468	4966
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	4246	2947	1299	7635
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	4262	3305	957	8194
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	1190	933	257	7327
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	1805	1403	402	5523
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	3589	2425	1164	7222
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	2692	1925	767	7229
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	1937	1327	610	4301
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	957	836	121	3854
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	2809	2361	448	5326
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	1924	1494	430	3783
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	189	180	9	490
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	134	120	14	197
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	1217	1051	166	5020
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	3166	2687	479	13164
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	218	109	109	351
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	1284	972	312	2721
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	4448	3832	616	8020
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	2067	1610	457	4421
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	4476	3808	668	7972
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	2286	1449	837	7459
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	1862	1528	334	4805
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	696	563	133	2176
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	2755	2112	643	7184
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	435	311	124	775
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	2760	1900	860	4487
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	1684	1239	445	3194
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	814	614	200	4511
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	4054	2998	1056	10249
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	1209	826	383	2044
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	1761	1421	340	4658
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	682	511	171	2654
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	1094	642	452	2552
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	2892	2067	825	10709
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	131	128	3	654
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	271	267	4	2629
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	3556	2457	1099	8139
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	721	635	86	3574
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	378	359	19	1683
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	1695	1372	323	3222
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	306	268	38	374
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	2365	1932	433	6597
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	331	297	34	390
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	3252	2706	546	9057
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	2692	2060	632	6431
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	1011	854	157	3575
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	449	408	41	1038
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	1733	1028	705	3873
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	878	708	170	1394
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	2893	1622	1271	4389
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	606	552	54	2185
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	4143	3091	1052	12396
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	5077	3570	1507	12041
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	550	470	80	1809
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	798	670	128	3069
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	538	343	195	733
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	848	735	113	2718
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	1265	764	501	16241
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	10	9	1	11
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	134	127	7	375
Tb927.8.1350	Tb927_08_v5.1	430515	431747	-	1233	840	459	381	1038
Tb927.8.1360	Tb927_08_v5.1	432137	444849	-	12713	7733	5172	2561	19280
Tb927.8.1370	Tb927_08_v5.1	444971	445514	-	544	319	208	111	414
Tb927.8.1380	Tb927_08_v5.1	445971	447330	+	1360	1461	1074	387	2317
Tb927.8.1381	Tb927_08_v5.1	454111	454229	-	119	1753	1384	369	2529
Tb927.8.1382	Tb927_08_v5.1	454846	454964	-	119	1563	1238	325	1955
Tb927.8.1383	Tb927_08_v5.1	455582	455700	-	119	1552	1238	314	1932
Tb927.8.1384	Tb927_08_v5.1	456318	456436	-	119	1713	1352	361	2469
Tb927.8.1385	Tb927_08_v5.1	457054	457172	-	119	1771	1420	351	2560
Tb927.8.1386	Tb927_08_v5.1	457790	457908	-	119	1779	1416	363	2650
Tb927.8.1387	Tb927_08_v5.1	458526	458644	-	119	1731	1417	314	2509
Tb927.8.1388	Tb927_08_v5.1	459261	459379	-	119	1694	1343	351	2316
Tb927.8.1389	Tb927_08_v5.1	460411	460441	-	31	291	211	80	349
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	782	492	290	1082
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	395	267	128	462
Tb927.8.1410	Tb927_08_v5.1	464007	466752	+	2746	547	423	124	2077
Tb927.8.1420	Tb927_08_v5.1	466574	468329	+	1756	1683	1283	400	6691
Tb927.8.1430	Tb927_08_v5.1	468547	469069	+	523	21	19	2	112
Tb927.8.1440	Tb927_08_v5.1	469240	470168	+	929	634	333	301	1175
Tb927.8.1450	Tb927_08_v5.1	470342	471897	+	1556	325	291	34	1287
Tb927.8.1460	Tb927_08_v5.1	472418	474552	+	2135	1798	1503	295	6324
Tb927.8.1470	Tb927_08_v5.1	475840	477798	+	1959	1377	872	505	1942
Tb927.8.1480	Tb927_08_v5.1	478006	485829	+	7824	4347	3304	1043	11454
Tb927.8.1490	Tb927_08_v5.1	485964	486506	+	543	78	14	64	106
Tb927.8.1500	Tb927_08_v5.1	487214	490779	+	3566	1782	1371	411	7070
Tb927.8.1510	Tb927_08_v5.1	490250	494620	+	4371	1723	1330	393	3128
Tb927.8.1520	Tb927_08_v5.1	494959	496260	+	1302	1016	701	315	2422
Tb927.8.1530	Tb927_08_v5.1	496560	499061	+	2502	407	343	64	1094
Tb927.8.1540	Tb927_08_v5.1	499185	501987	+	2803	897	626	271	3310
Tb927.8.1550	Tb927_08_v5.1	502944	505552	+	2609	1911	1319	592	4045
Tb927.8.1560	Tb927_08_v5.1	507863	510107	+	2245	208	201	7	945
Tb927.8.1570	Tb927_08_v5.1	510700	512565	+	1866	552	501	51	2225
Tb927.8.1580	Tb927_08_v5.1	513888	515874	+	1987	1687	975	712	2130
Tb927.8.1590	Tb927_08_v5.1	516038	530691	+	14654	10012	7245	2767	30119
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	530856;531301	533364;533364	+;+	2509	833	702	131	2411
Tb927_08_v4.snoRNA.0025	Tb927_08_v5.1	533529	533606	+	78	62	25	37	72
Tb927_08_v4.snoRNA.0016	Tb927_08_v5.1	533634	533716	+	83	32	28	4	33
Tb927_08_v4.snoRNA.0006	Tb927_08_v5.1	533809	533882	+	74	25	21	4	25
Tb927_08_v4.snoRNA.0001	Tb927_08_v5.1	533918	534035	+	118	218	184	34	315
Tb927_08_v4.snoRNA.0026	Tb927_08_v5.1	534178	534255	+	78	57	17	40	68
Tb927_08_v4.snoRNA.0017	Tb927_08_v5.1	534283	534365	+	83	41	36	5	42
Tb927_08_v4.snoRNA.0007	Tb927_08_v5.1	534458	534531	+	74	22	16	6	25
Tb927_08_v4.snoRNA.0002	Tb927_08_v5.1	534567	534684	+	118	93	81	12	108
Tb927_08_v4.snoRNA.0027	Tb927_08_v5.1	534827	534904	+	78	76	18	58	86
Tb927_08_v4.snoRNA.0018	Tb927_08_v5.1	534932	535014	+	83	46	41	5	47
Tb927_08_v4.snoRNA.0008	Tb927_08_v5.1	535107	535180	+	74	23	19	4	23
Tb927_08_v4.snoRNA.0003	Tb927_08_v5.1	535216	535333	+	118	208	173	35	322
Tb927_08_v4.snoRNA.0028	Tb927_08_v5.1	535476	535553	+	78	64	15	49	76
Tb927_08_v4.snoRNA.0019	Tb927_08_v5.1	535581	535663	+	83	44	38	6	49
Tb927_08_v4.snoRNA.0009	Tb927_08_v5.1	535756	535829	+	74	28	23	5	32
Tb927_08_v4.snoRNA.0004	Tb927_08_v5.1	535865	535982	+	118	93	85	8	115
Tb927_08_v4.snoRNA.0029	Tb927_08_v5.1	536125	536202	+	78	83	30	53	90
Tb927_08_v4.snoRNA.0020	Tb927_08_v5.1	536230	536312	+	83	50	45	5	52
Tb927_08_v4.snoRNA.0010	Tb927_08_v5.1	536405	536478	+	74	16	12	4	17
Tb927_08_v4.snoRNA.0005	Tb927_08_v5.1	536514	536631	+	118	142	128	14	231
Tb927_08_v4.snoRNA.0030	Tb927_08_v5.1	536774	536851	+	78	30	15	15	32
Tb927_08_v4.snoRNA.0021	Tb927_08_v5.1	536879	536961	+	83	42	31	11	43
Tb927.8.1610	Tb927_08_v5.1	537132	538806	+	1675	1815	1335	480	2740
Tb927.8.1620	Tb927_08_v5.1	539325	541194	+	1870	2003	1556	447	2989
Tb927.8.1630	Tb927_08_v5.1	541518	543592	+	2075	2170	1673	497	3364
Tb927.8.1640	Tb927_08_v5.1	543711	546361	+	2651	2047	1610	437	3089
Tb927.8.1650	Tb927_08_v5.1	545906	548434	+	2529	1130	1029	101	6133
Tb927_08_v4.snoRNA.0011	Tb927_08_v5.1	549674	549769	+	96	22	16	6	83
Tb927_08_v4.snoRNA.0012	Tb927_08_v5.1	549815	549881	+	67	27	26	1	27
Tb927_08_v4.snoRNA.0031	Tb927_08_v5.1	549933	550026	+	94	111	98	13	118
Tb927_08_v4.snoRNA.0015	Tb927_08_v5.1	550193	550259	+	67	40	29	11	71
Tb927_08_v4.snoRNA.0033	Tb927_08_v5.1	550311	550404	+	94	47	35	12	51
Tb927_08_v4.snoRNA.0013	Tb927_08_v5.1	550571	550637	+	67	124	92	32	439
Tb927_08_v4.snoRNA.0032	Tb927_08_v5.1	550689	550782	+	94	129	101	28	158
Tb927_08_v4.snoRNA.0014	Tb927_08_v5.1	550949	551015	+	67	31	28	3	64
Tb927.8.1660	Tb927_08_v5.1	552495	552753	+	259	382	264	118	4683
Tb927.8.1665	Tb927_08_v5.1	555012	557581	-	2570	1441	1103	338	4798
Tb927.8.1670	Tb927_08_v5.1	558245	560376	-	2132	965	738	227	1640
Tb927.8.1680	Tb927_08_v5.1	560516	561559	-	1044	181	163	18	409
Tb927.8.1690	Tb927_08_v5.1	561674	564289	-	2616	531	489	42	1435
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566839;567149	-;-	2370	1086	852	234	3104
Tb927.8.1710	Tb927_08_v5.1	567268	569337	-	2070	1627	977	650	3312
Tb927.8.1720	Tb927_08_v5.1	569436	572297	-	2862	1533	967	566	2107
Tb927.8.1730	Tb927_08_v5.1	572606	573019	-	414	561	349	212	938
Tb927.8.1740	Tb927_08_v5.1	573200	575944	-	2745	698	547	151	1456
Tb927.8.1750	Tb927_08_v5.1	576397	577010	-	614	121	100	21	556
Tb927.8.1760	Tb927_08_v5.1	576941	577904	-	964	54	46	8	57
Tb927.8.1770	Tb927_08_v5.1	577615	581715	-	4101	1806	1457	349	3021
Tb927.8.1780	Tb927_08_v5.1	581859	587851	-	5993	4270	3111	1159	12033
Tb927.8.1790	Tb927_08_v5.1	588516	589644	-	1129	155	134	21	286
Tb927.8.1800	Tb927_08_v5.1	589559	591527	-	1969	1761	1215	546	4513
Tb927.8.1810	Tb927_08_v5.1	591914	592911	-	998	481	433	48	712
Tb927.8.1820	Tb927_08_v5.1	593024	594551	-	1528	795	647	148	2502
Tb927.8.1830	Tb927_08_v5.1	594809	596615	-	1807	924	859	65	3235
Tb927.8.1840	Tb927_08_v5.1	596740	603777	-	7038	3299	2540	759	7873
Tb927.8.1850	Tb927_08_v5.1	603912	605492	-	1581	353	292	61	1840
Tb927.8.1860	Tb927_08_v5.1	605805	608991	-	3187	3289	1685	1604	7351
Tb927.8.1870	Tb927_08_v5.1	610427	612542	-	2116	571	443	128	1158
Tb927.8.1880	Tb927_08_v5.1	612682	613543	-	862	1029	873	156	5383
Tb927.8.1890	Tb927_08_v5.1	613650	615425	-	1776	1977	1323	654	5578
Tb927.8.1900	Tb927_08_v5.1	615577	617486	-	1910	88	75	13	1108
Tb927.8.1910	Tb927_08_v5.1	617619	619799	-	2181	977	740	237	2198
Tb927.8.1920	Tb927_08_v5.1	619932	620945	-	1014	48	37	11	285
Tb927.8.1930	Tb927_08_v5.1	621083	621943	-	861	8	7	1	116
Tb927.8.1940	Tb927_08_v5.1	622032	624115	-	2084	63	37	26	479
Tb927.8.1945	Tb927_08_v5.1	626529	626988	+	460	185	127	58	218
Tb927.8.1950	Tb927_08_v5.1	627247	629565	+	2319	761	611	150	1300
Tb927.8.1960	Tb927_08_v5.1	629729	631101	+	1373	696	602	94	2440
Tb927.8.1970	Tb927_08_v5.1	631237	632303	+	1067	541	467	74	2073
Tb927.8.1980	Tb927_08_v5.1	632474	634163	+	1690	873	743	130	3937
Tb927.8.1990	Tb927_08_v5.1	634099	635163	+	1065	180	167	13	599
Tb927.8.2000	Tb927_08_v5.1	635321	636120	+	800	700	636	64	2558
Tb927.8.2010	Tb927_08_v5.1	636394	637062	+	669	563	252	311	715
Tb927.8.2020	Tb927_08_v5.1	637229	638533	+	1305	1043	514	529	2478
Tb927.8.2030	Tb927_08_v5.1	638651	640119	+	1469	507	439	68	1154
Tb927.8.2040	Tb927_08_v5.1	640593	642333	+	1741	1631	881	750	2180
Tb927.8.2050	Tb927_08_v5.1	642480	643754	+	1275	360	342	18	8838
Tb927.8.2060	Tb927_08_v5.1	644161	653337	+	9177	5798	4095	1703	12875
Tb927_08_v4.snoRNA.0022	Tb927_08_v5.1	653501	653583	+	83	64	27	37	76
Tb927_08_v4.snoRNA.0035	Tb927_08_v5.1	653618	653704	+	87	106	90	16	111
Tb927_08_v4.snoRNA.0037	Tb927_08_v5.1	653762	653843	+	82	55	44	11	60
Tb927_08_v4.snoRNA.0040	Tb927_08_v5.1	654055	654119	+	65	47	43	4	50
Tb927.8.2070	Tb927_08_v5.1	654313	654964	+	652	286	217	69	334
Tb927_08_v4.snoRNA.0041	Tb927_08_v5.1	655717	655781	+	65	51	48	3	55
Tb927.8.2080	Tb927_08_v5.1	655975	656584	+	610	300	158	142	851
Tb927_08_v4.snoRNA.0023	Tb927_08_v5.1	657195	657277	+	83	204	144	60	442
Tb927_08_v4.snoRNA.0036	Tb927_08_v5.1	657312	657398	+	87	194	156	38	288
Tb927_08_v4.snoRNA.0038	Tb927_08_v5.1	657456	657537	+	82	224	198	26	430
Tb927.8.2090	Tb927_08_v5.1	657734	658456	+	723	466	357	109	1351
Tb927.8.2100	Tb927_08_v5.1	658648	659149	+	502	187	167	20	767
Tb927.8.2110	Tb927_08_v5.1	659735	661241	+	1507	416	378	38	3099
Tb927.8.2120	Tb927_08_v5.1	661416	662811	+	1396	1289	806	483	2640
Tb927.8.2130	Tb927_08_v5.1	662944	664613	+	1670	1561	1214	347	7106
Tb927.8.2140	Tb927_08_v5.1	665104	665812	+	709	273	212	61	331
Tb927.8.2150	Tb927_08_v5.1	666282	667505	+	1224	71	46	25	317
Tb927.8.2160	Tb927_08_v5.1	667647	673216	+	5570	3576	2212	1364	6927
Tb927.8.2170	Tb927_08_v5.1	673583	673919	+	337	392	307	85	732
Tb927.8.2180	Tb927_08_v5.1	674219	674976	+	758	330	205	125	661
Tb927.8.2185	Tb927_08_v5.1	675099	675515	+	417	59	12	47	64
Tb927.8.2190	Tb927_08_v5.1	675639	676274	+	636	85	47	38	196
Tb927.8.2200	Tb927_08_v5.1	676377	677388	+	1012	539	463	76	1906
Tb927.8.2210	Tb927_08_v5.1	677827	678743	+	917	385	344	41	1013
Tb927.8.2220	Tb927_08_v5.1	679691	684449	+	4759	3440	2629	811	12791
Tb927.8.2230	Tb927_08_v5.1	684910	685950	+	1041	419	344	75	895
Tb927.8.2240	Tb927_08_v5.1	686457	687904	+	1448	863	693	170	1321
Tb927.8.2250	Tb927_08_v5.1	688087	690689	+	2603	1365	1093	272	2389
Tb927_08_v4.snoRNA.0024	Tb927_08_v5.1	691295	691377	+	83	24	8	16	25
Tb927_08_v4.snoRNA.0034	Tb927_08_v5.1	691412	691498	+	87	31	18	13	32
Tb927_08_v4.snoRNA.0039	Tb927_08_v5.1	691556	691637	+	82	58	43	15	64
Tb927_08_v4.snoRNA.0042	Tb927_08_v5.1	691849	691913	+	65	48	44	4	52
Tb927.8.2260	Tb927_08_v5.1	692107	693116	+	1010	1524	1143	381	2465
Tb927_08_v4.snoRNA.0043	Tb927_08_v5.1	693512	693576	+	65	25	24	1	28
Tb927.8.2270	Tb927_08_v5.1	693770	694421	+	652	598	470	128	953
Tb927_08_v4.snoRNA.0044	Tb927_08_v5.1	695175	695239	+	65	37	35	2	39
Tb927.8.2280	Tb927_08_v5.1	695433	696930	+	1498	1818	1494	324	3653
Tb927.8.2290	Tb927_08_v5.1	696623	697976	+	1354	518	411	107	770
Tb927.8.2300	Tb927_08_v5.1	698120	699347	+	1228	724	617	107	1667
Tb927.8.2310	Tb927_08_v5.1	699459	699962	+	504	662	570	92	1086
Tb927.8.2320	Tb927_08_v5.1	700426	701455	+	1030	412	350	62	778
