# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003739.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/counts.txt" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_F_plus_R.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_WO.bam" "/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_F_plus_R.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted_dedup_WO.bam	/tmp/13003739.1.all.q/CM03_H_GG2M_S7/S7_sorted.bam
Tb927.8.160	Tb927_08_v5.1	21627	23681	+	2055	491	471	20	942
Tb927.8.170	Tb927_08_v5.1	24041	25522	+	1482	249	180	69	352
Tb927.8.180	Tb927_08_v5.1	27357	27734	+	378	315	305	10	1028
Tb927.8.190	Tb927_08_v5.1	29452	31046	+	1595	1019	839	180	1543
Tb927.8.200	Tb927_08_v5.1	32272	33285	+	1014	377	252	125	923
Tb927.8.210	Tb927_08_v5.1	33526	35078	+	1553	802	704	98	1446
Tb927.8.220	Tb927_08_v5.1	36916	38437	+	1522	319	261	58	436
Tb927.8.230	Tb927_08_v5.1	39787	40888	+	1102	853	406	447	1586
Tb927.8.240	Tb927_08_v5.1	41073	42557	+	1485	177	162	15	505
Tb927.8.250	Tb927_08_v5.1	43850	45373	+	1524	175	162	13	721
Tb927.8.260	Tb927_08_v5.1	46530	48055	+	1526	391	366	25	1434
Tb927.8.270	Tb927_08_v5.1	51024	64023	+	13000	4189	3404	785	9663
Tb927.8.280	Tb927_08_v5.1	65838	67268	+	1431	334	247	87	503
Tb927.8.290	Tb927_08_v5.1	69197	70716	+	1520	220	182	38	738
Tb927.8.300	Tb927_08_v5.1	72810	74841	+	2032	621	383	238	702
Tb927.8.310	Tb927_08_v5.1	75869	77280	+	1412	772	614	158	1233
Tb927.8.320	Tb927_08_v5.1	80097	86013	+	5917	572	481	91	1564
Tb927.8.330	Tb927_08_v5.1	87463	88974	+	1512	179	171	8	311
Tb927.8.340	Tb927_08_v5.1	90887	93874	+	2988	815	630	185	1164
Tb927.8.350	Tb927_08_v5.1	94593	98427	+	3835	413	341	72	494
Tb927.8.360	Tb927_08_v5.1	98581	100054	+	1474	223	187	36	3154
Tb927.8.370	Tb927_08_v5.1	101170	102323	+	1154	47	37	10	69
Tb927.8.380	Tb927_08_v5.1	102499	104385	+	1887	125	112	13	1305
Tb927.8.390	Tb927_08_v5.1	105019	106006	+	988	15	12	3	15
Tb927.8.400	Tb927_08_v5.1	106153	107750	+	1598	270	257	13	383
Tb927.8.410	Tb927_08_v5.1	108919	110449	+	1531	1	1	0	1
Tb927.8.420	Tb927_08_v5.1	112157	113708	+	1552	227	162	65	312
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	311	270	41	355
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	1277	977	300	1890
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	85	57	28	193
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	0	0	0	0
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	32	32	0	42
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	170	146	24	306
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	92	37	55	103
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	1556	1228	328	3161
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	1275	602	673	3426
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	11	9	2	12
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	464	319	145	600
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	351	340	11	2350
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	478	377	101	2165
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	126	93	33	139
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	4572	3488	1084	10595
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	380	368	12	871
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	636	419	217	961
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	1582	1034	548	5536
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	275	236	39	1027
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	1398	1159	239	4068
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	122	88	34	173
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	86	72	14	1150
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	2	0	2	2
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	1785	1025	760	2787
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	899	779	120	2920
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	477	416	61	733
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	878	569	309	1346
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	1435	1113	322	2813
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	384	164	220	462
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	235	195	40	977
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	307	223	84	379
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	248	210	38	1132
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	305	253	52	1719
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	2896	1856	1040	5714
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	1446	1123	323	3968
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	292	271	21	919
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	327	215	112	416
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	519	429	90	733
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	49	43	6	174
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	341	327	14	516
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	24	23	1	81
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	838	725	113	1522
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	957	798	159	2029
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	2258	1698	560	3929
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	2775	2139	636	5051
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	2871	1805	1066	7549
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	1034	826	208	3784
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	1530	1089	441	3378
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	2270	1825	445	4970
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	1099	819	280	2542
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	538	521	17	2381
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	1626	1406	220	3791
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	1270	1076	194	2475
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	390	384	6	1338
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	69	62	7	139
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	1078	936	142	2943
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	1533	1310	223	8185
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	209	109	100	411
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	720	555	165	1141
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	10935	8127	2808	17932
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	1077	860	217	1599
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	11161	8210	2951	18303
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	965	626	339	2788
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	954	863	91	4340
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	536	482	54	1261
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	2194	1789	405	5008
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	198	158	40	342
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	2308	1663	645	4483
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	1153	905	248	2391
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	526	480	46	2367
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	1860	1458	402	3554
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	471	297	174	1383
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	799	694	105	1950
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	1207	619	588	1723
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	1681	846	835	2347
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	1311	984	327	1969
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	103	68	35	838
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	92	88	4	2062
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	2557	1903	654	8033
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	697	557	140	2428
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	213	204	9	1738
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	827	700	127	2047
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	249	217	32	314
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	1102	938	164	4131
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	249	219	30	298
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	1567	1364	203	5296
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	1462	1171	291	3570
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	884	737	147	1870
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	300	285	15	477
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	2432	1397	1035	4762
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	510	397	113	654
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	1731	1137	594	3007
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	746	641	105	2002
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	3039	2178	861	8021
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	3687	2313	1374	7572
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	213	198	15	1342
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	412	373	39	2036
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	74	42	32	80
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	318	253	65	734
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	612	389	223	3392
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	11	11	0	14
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	16	14	2	24
Tb927.8.1350	Tb927_08_v5.1	430515	431747	-	1233	97	58	39	110
Tb927.8.1360	Tb927_08_v5.1	432137	444849	-	12713	5585	3692	1893	11131
Tb927.8.1370	Tb927_08_v5.1	444971	445514	-	544	97	86	11	104
Tb927.8.1380	Tb927_08_v5.1	445971	447330	+	1360	931	809	122	1984
Tb927.8.1381	Tb927_08_v5.1	454111	454229	-	119	868	711	157	1422
Tb927.8.1382	Tb927_08_v5.1	454846	454964	-	119	764	606	158	1034
Tb927.8.1383	Tb927_08_v5.1	455582	455700	-	119	828	669	159	1084
Tb927.8.1384	Tb927_08_v5.1	456318	456436	-	119	863	695	168	1434
Tb927.8.1385	Tb927_08_v5.1	457054	457172	-	119	847	681	166	1441
Tb927.8.1386	Tb927_08_v5.1	457790	457908	-	119	813	656	157	1325
Tb927.8.1387	Tb927_08_v5.1	458526	458644	-	119	815	652	163	1406
Tb927.8.1388	Tb927_08_v5.1	459261	459379	-	119	820	637	183	1403
Tb927.8.1389	Tb927_08_v5.1	460411	460441	-	31	179	139	40	219
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	504	326	178	708
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	177	124	53	202
Tb927.8.1410	Tb927_08_v5.1	464007	466752	+	2746	237	157	80	2594
Tb927.8.1420	Tb927_08_v5.1	466574	468329	+	1756	517	467	50	978
Tb927.8.1430	Tb927_08_v5.1	468547	469069	+	523	2	1	1	2
Tb927.8.1440	Tb927_08_v5.1	469240	470168	+	929	318	210	108	394
Tb927.8.1450	Tb927_08_v5.1	470342	471897	+	1556	199	190	9	1100
Tb927.8.1460	Tb927_08_v5.1	472418	474552	+	2135	989	896	93	3095
Tb927.8.1470	Tb927_08_v5.1	475840	477798	+	1959	776	510	266	912
Tb927.8.1480	Tb927_08_v5.1	478006	485829	+	7824	1297	989	308	3449
Tb927.8.1490	Tb927_08_v5.1	485964	486506	+	543	40	0	40	56
Tb927.8.1500	Tb927_08_v5.1	487214	490779	+	3566	4333	3097	1236	10127
Tb927.8.1510	Tb927_08_v5.1	490250	494620	+	4371	1218	921	297	2781
Tb927.8.1520	Tb927_08_v5.1	494959	496260	+	1302	964	633	331	1762
Tb927.8.1530	Tb927_08_v5.1	496560	499061	+	2502	164	159	5	847
Tb927.8.1540	Tb927_08_v5.1	499185	501987	+	2803	1663	1069	594	5935
Tb927.8.1550	Tb927_08_v5.1	502944	505552	+	2609	2240	1544	696	6493
Tb927.8.1560	Tb927_08_v5.1	507863	510107	+	2245	1333	690	643	2980
Tb927.8.1570	Tb927_08_v5.1	510700	512565	+	1866	209	198	11	1024
Tb927.8.1580	Tb927_08_v5.1	513888	515874	+	1987	1053	605	448	1247
Tb927.8.1590	Tb927_08_v5.1	516038	530691	+	14654	8918	6799	2119	23278
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	530856;531301	533364;533364	+;+	2509	719	628	91	1436
Tb927_08_v4.snoRNA.0025	Tb927_08_v5.1	533529	533606	+	78	65	33	32	70
Tb927_08_v4.snoRNA.0016	Tb927_08_v5.1	533634	533716	+	83	20	15	5	20
Tb927_08_v4.snoRNA.0006	Tb927_08_v5.1	533809	533882	+	74	8	2	6	8
Tb927_08_v4.snoRNA.0001	Tb927_08_v5.1	533918	534035	+	118	106	94	12	144
Tb927_08_v4.snoRNA.0026	Tb927_08_v5.1	534178	534255	+	78	50	14	36	63
Tb927_08_v4.snoRNA.0017	Tb927_08_v5.1	534283	534365	+	83	16	13	3	17
Tb927_08_v4.snoRNA.0007	Tb927_08_v5.1	534458	534531	+	74	9	8	1	9
Tb927_08_v4.snoRNA.0002	Tb927_08_v5.1	534567	534684	+	118	50	39	11	58
Tb927_08_v4.snoRNA.0027	Tb927_08_v5.1	534827	534904	+	78	51	7	44	62
Tb927_08_v4.snoRNA.0018	Tb927_08_v5.1	534932	535014	+	83	26	21	5	27
Tb927_08_v4.snoRNA.0008	Tb927_08_v5.1	535107	535180	+	74	9	5	4	9
Tb927_08_v4.snoRNA.0003	Tb927_08_v5.1	535216	535333	+	118	101	82	19	156
Tb927_08_v4.snoRNA.0028	Tb927_08_v5.1	535476	535553	+	78	51	7	44	55
Tb927_08_v4.snoRNA.0019	Tb927_08_v5.1	535581	535663	+	83	17	12	5	17
Tb927_08_v4.snoRNA.0009	Tb927_08_v5.1	535756	535829	+	74	6	5	1	6
Tb927_08_v4.snoRNA.0004	Tb927_08_v5.1	535865	535982	+	118	46	42	4	54
Tb927_08_v4.snoRNA.0029	Tb927_08_v5.1	536125	536202	+	78	56	10	46	65
Tb927_08_v4.snoRNA.0020	Tb927_08_v5.1	536230	536312	+	83	28	21	7	29
Tb927_08_v4.snoRNA.0010	Tb927_08_v5.1	536405	536478	+	74	4	3	1	4
Tb927_08_v4.snoRNA.0005	Tb927_08_v5.1	536514	536631	+	118	54	52	2	98
Tb927_08_v4.snoRNA.0030	Tb927_08_v5.1	536774	536851	+	78	22	5	17	26
Tb927_08_v4.snoRNA.0021	Tb927_08_v5.1	536879	536961	+	83	36	29	7	42
Tb927.8.1610	Tb927_08_v5.1	537132	538806	+	1675	1004	770	234	1771
Tb927.8.1620	Tb927_08_v5.1	539325	541194	+	1870	1206	995	211	2088
Tb927.8.1630	Tb927_08_v5.1	541518	543592	+	2075	1244	1036	208	2134
Tb927.8.1640	Tb927_08_v5.1	543711	546361	+	2651	1150	947	203	2053
Tb927.8.1650	Tb927_08_v5.1	545906	548434	+	2529	423	366	57	1681
Tb927_08_v4.snoRNA.0011	Tb927_08_v5.1	549674	549769	+	96	2	0	2	2
Tb927_08_v4.snoRNA.0012	Tb927_08_v5.1	549815	549881	+	67	6	4	2	6
Tb927_08_v4.snoRNA.0031	Tb927_08_v5.1	549933	550026	+	94	38	32	6	39
Tb927_08_v4.snoRNA.0015	Tb927_08_v5.1	550193	550259	+	67	13	10	3	14
Tb927_08_v4.snoRNA.0033	Tb927_08_v5.1	550311	550404	+	94	23	20	3	25
Tb927_08_v4.snoRNA.0013	Tb927_08_v5.1	550571	550637	+	67	49	36	13	52
Tb927_08_v4.snoRNA.0032	Tb927_08_v5.1	550689	550782	+	94	39	32	7	50
Tb927_08_v4.snoRNA.0014	Tb927_08_v5.1	550949	551015	+	67	13	10	3	14
Tb927.8.1660	Tb927_08_v5.1	552495	552753	+	259	165	138	27	2675
Tb927.8.1665	Tb927_08_v5.1	555012	557581	-	2570	434	384	50	1246
Tb927.8.1670	Tb927_08_v5.1	558245	560376	-	2132	722	589	133	1468
Tb927.8.1680	Tb927_08_v5.1	560516	561559	-	1044	718	595	123	2158
Tb927.8.1690	Tb927_08_v5.1	561674	564289	-	2616	234	220	14	556
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566839;567149	-;-	2370	422	282	140	501
Tb927.8.1710	Tb927_08_v5.1	567268	569337	-	2070	730	580	150	2100
Tb927.8.1720	Tb927_08_v5.1	569436	572297	-	2862	583	350	233	716
Tb927.8.1730	Tb927_08_v5.1	572606	573019	-	414	220	135	85	294
Tb927.8.1740	Tb927_08_v5.1	573200	575944	-	2745	291	258	33	668
Tb927.8.1750	Tb927_08_v5.1	576397	577010	-	614	34	32	2	231
Tb927.8.1760	Tb927_08_v5.1	576941	577904	-	964	31	31	0	70
Tb927.8.1770	Tb927_08_v5.1	577615	581715	-	4101	1344	1164	180	2309
Tb927.8.1780	Tb927_08_v5.1	581859	587851	-	5993	2762	2155	607	8784
Tb927.8.1790	Tb927_08_v5.1	588516	589644	-	1129	49	39	10	57
Tb927.8.1800	Tb927_08_v5.1	589559	591527	-	1969	1385	1003	382	2506
Tb927.8.1810	Tb927_08_v5.1	591914	592911	-	998	460	377	83	673
Tb927.8.1820	Tb927_08_v5.1	593024	594551	-	1528	311	287	24	788
Tb927.8.1830	Tb927_08_v5.1	594809	596615	-	1807	645	612	33	2771
Tb927.8.1840	Tb927_08_v5.1	596740	603777	-	7038	2712	2154	558	4998
Tb927.8.1850	Tb927_08_v5.1	603912	605492	-	1581	733	623	110	1933
Tb927.8.1860	Tb927_08_v5.1	605805	608991	-	3187	1943	1189	754	2878
Tb927.8.1870	Tb927_08_v5.1	610427	612542	-	2116	136	62	74	607
Tb927.8.1880	Tb927_08_v5.1	612682	613543	-	862	593	541	52	2634
Tb927.8.1890	Tb927_08_v5.1	613650	615425	-	1776	1578	1204	374	4331
Tb927.8.1900	Tb927_08_v5.1	615577	617486	-	1910	33	31	2	608
Tb927.8.1910	Tb927_08_v5.1	617619	619799	-	2181	539	437	102	1490
Tb927.8.1920	Tb927_08_v5.1	619932	620945	-	1014	73	47	26	402
Tb927.8.1930	Tb927_08_v5.1	621083	621943	-	861	2	0	2	2
Tb927.8.1940	Tb927_08_v5.1	622032	624115	-	2084	43	32	11	240
Tb927.8.1945	Tb927_08_v5.1	626529	626988	+	460	226	114	112	258
Tb927.8.1950	Tb927_08_v5.1	627247	629565	+	2319	781	620	161	1368
Tb927.8.1960	Tb927_08_v5.1	629729	631101	+	1373	565	530	35	4086
Tb927.8.1970	Tb927_08_v5.1	631237	632303	+	1067	497	466	31	2010
Tb927.8.1980	Tb927_08_v5.1	632474	634163	+	1690	390	322	68	1117
Tb927.8.1990	Tb927_08_v5.1	634099	635163	+	1065	48	44	4	215
Tb927.8.2000	Tb927_08_v5.1	635321	636120	+	800	584	562	22	1817
Tb927.8.2010	Tb927_08_v5.1	636394	637062	+	669	265	161	104	306
Tb927.8.2020	Tb927_08_v5.1	637229	638533	+	1305	1035	639	396	1994
Tb927.8.2030	Tb927_08_v5.1	638651	640119	+	1469	817	698	119	1965
Tb927.8.2040	Tb927_08_v5.1	640593	642333	+	1741	1042	512	530	1250
Tb927.8.2050	Tb927_08_v5.1	642480	643754	+	1275	278	273	5	7216
Tb927.8.2060	Tb927_08_v5.1	644161	653337	+	9177	4780	3650	1130	9533
Tb927_08_v4.snoRNA.0022	Tb927_08_v5.1	653501	653583	+	83	59	36	23	71
Tb927_08_v4.snoRNA.0035	Tb927_08_v5.1	653618	653704	+	87	107	97	10	121
Tb927_08_v4.snoRNA.0037	Tb927_08_v5.1	653762	653843	+	82	42	31	11	48
Tb927_08_v4.snoRNA.0040	Tb927_08_v5.1	654055	654119	+	65	49	40	9	55
Tb927.8.2070	Tb927_08_v5.1	654313	654964	+	652	110	89	21	121
Tb927_08_v4.snoRNA.0041	Tb927_08_v5.1	655717	655781	+	65	70	63	7	84
Tb927.8.2080	Tb927_08_v5.1	655975	656584	+	610	376	191	185	563
Tb927_08_v4.snoRNA.0023	Tb927_08_v5.1	657195	657277	+	83	145	125	20	299
Tb927_08_v4.snoRNA.0036	Tb927_08_v5.1	657312	657398	+	87	146	130	16	241
Tb927_08_v4.snoRNA.0038	Tb927_08_v5.1	657456	657537	+	82	163	155	8	248
Tb927.8.2090	Tb927_08_v5.1	657734	658456	+	723	435	405	30	2657
Tb927.8.2100	Tb927_08_v5.1	658648	659149	+	502	5	5	0	5
Tb927.8.2110	Tb927_08_v5.1	659735	661241	+	1507	261	230	31	1542
Tb927.8.2120	Tb927_08_v5.1	661416	662811	+	1396	1004	643	361	1373
Tb927.8.2130	Tb927_08_v5.1	662944	664613	+	1670	898	730	168	4456
Tb927.8.2140	Tb927_08_v5.1	665104	665812	+	709	142	111	31	164
Tb927.8.2150	Tb927_08_v5.1	666282	667505	+	1224	163	76	87	580
Tb927.8.2160	Tb927_08_v5.1	667647	673216	+	5570	2223	1475	748	3944
Tb927.8.2170	Tb927_08_v5.1	673583	673919	+	337	371	293	78	598
Tb927.8.2180	Tb927_08_v5.1	674219	674976	+	758	252	142	110	314
Tb927.8.2185	Tb927_08_v5.1	675099	675515	+	417	76	26	50	78
Tb927.8.2190	Tb927_08_v5.1	675639	676274	+	636	54	29	25	55
Tb927.8.2200	Tb927_08_v5.1	676377	677388	+	1012	110	72	38	587
Tb927.8.2210	Tb927_08_v5.1	677827	678743	+	917	250	229	21	762
Tb927.8.2220	Tb927_08_v5.1	679691	684449	+	4759	2079	1735	344	7425
Tb927.8.2230	Tb927_08_v5.1	684910	685950	+	1041	288	271	17	749
Tb927.8.2240	Tb927_08_v5.1	686457	687904	+	1448	483	399	84	647
Tb927.8.2250	Tb927_08_v5.1	688087	690689	+	2603	838	600	238	1416
Tb927_08_v4.snoRNA.0024	Tb927_08_v5.1	691295	691377	+	83	11	4	7	12
Tb927_08_v4.snoRNA.0034	Tb927_08_v5.1	691412	691498	+	87	43	36	7	49
Tb927_08_v4.snoRNA.0039	Tb927_08_v5.1	691556	691637	+	82	46	40	6	51
Tb927_08_v4.snoRNA.0042	Tb927_08_v5.1	691849	691913	+	65	32	23	9	33
Tb927.8.2260	Tb927_08_v5.1	692107	693116	+	1010	705	608	97	1200
Tb927_08_v4.snoRNA.0043	Tb927_08_v5.1	693512	693576	+	65	16	16	0	17
Tb927.8.2270	Tb927_08_v5.1	693770	694421	+	652	196	167	29	285
Tb927_08_v4.snoRNA.0044	Tb927_08_v5.1	695175	695239	+	65	27	26	1	29
Tb927.8.2280	Tb927_08_v5.1	695433	696930	+	1498	1114	972	142	2373
Tb927.8.2290	Tb927_08_v5.1	696623	697976	+	1354	348	285	63	507
Tb927.8.2300	Tb927_08_v5.1	698120	699347	+	1228	322	279	43	590
Tb927.8.2310	Tb927_08_v5.1	699459	699962	+	504	324	293	31	422
Tb927.8.2320	Tb927_08_v5.1	700426	701455	+	1030	388	343	45	804
Tb927.8.2330	Tb927_08_v5.1	701043	703234	+	2192	494	447	47	699
Tb927.8.2340	Tb927_08_v5.1	703241	703794	+	554	820	537	283	1238
