# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003738.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/counts.txt" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam" "/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_F_plus_R.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted_dedup_WO.bam	/tmp/13003738.1.all.q/CM03_B_LIB_S1/S1_sorted.bam
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	178	137	41	548
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	6	5	1	6
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	72	67	5	86
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	90	58	32	185
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	143	60	83	160
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	1802	1431	371	4408
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	1130	584	546	2284
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	28	24	4	136
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	445	297	148	617
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	341	320	21	1832
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	850	697	153	1842
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	110	81	29	133
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	5900	4278	1622	14101
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	202	182	20	314
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	869	624	245	1982
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	1666	1118	548	3910
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	592	431	161	1226
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	1785	1317	468	5153
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	233	175	58	309
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	114	107	7	1700
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	7	4	3	7
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	2272	1506	766	2980
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	1071	849	222	3271
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	321	266	55	921
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	354	206	148	583
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	1927	1581	346	4091
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	110	49	61	191
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	370	321	49	3668
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	678	476	202	901
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	194	176	18	766
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	241	187	54	1084
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	4610	2737	1873	8547
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	1852	1477	375	5146
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	248	215	33	550
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	236	152	84	310
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	579	503	76	925
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	191	143	48	365
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	347	318	29	566
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	161	131	30	377
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	1291	987	304	2089
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	1281	1024	257	3133
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	2859	2069	790	6109
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	3293	2503	790	7123
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	926	708	218	5047
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	1244	961	283	3201
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	2204	1558	646	4763
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	1671	1206	465	4418
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	1102	710	392	1961
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	636	588	48	2190
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	1939	1633	306	3451
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	1281	1017	264	2609
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	358	318	40	785
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	86	77	9	131
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	732	595	137	2992
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	1863	1596	267	7954
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	149	63	86	252
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	957	727	230	2013
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	7519	5970	1549	11777
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	1524	1175	349	2617
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	7680	5949	1731	11710
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	1426	994	432	4638
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	1676	1393	283	4735
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	597	507	90	1925
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	2380	1872	508	5751
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	235	184	51	506
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	2479	1782	697	3739
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	1344	1052	292	2689
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	550	482	68	1929
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	3196	2474	722	7603
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	921	682	239	1662
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	1340	1064	276	2741
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	806	523	283	1761
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	850	468	382	1875
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	2159	1607	552	8371
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	86	74	12	472
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	178	175	3	1862
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	3104	2120	984	6790
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	395	361	34	1948
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	238	227	11	1929
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	1082	915	167	1978
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	305	263	42	370
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	1603	1301	302	3954
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	287	260	27	341
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	2186	1774	412	6261
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	1754	1371	383	4830
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	849	732	117	2476
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	428	398	30	1009
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	1555	995	560	3072
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	619	475	144	736
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	2228	1272	956	3037
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	533	482	51	1683
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	3046	2286	760	8399
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	3286	2382	904	8058
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	424	381	43	1274
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	612	521	91	3123
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	388	260	128	477
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	534	474	60	1894
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	907	562	345	12656
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	13	8	5	15
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	96	91	5	265
Tb927.8.1350	Tb927_08_v5.1	430515	431747	-	1233	655	393	262	752
Tb927.8.1360	Tb927_08_v5.1	432137	444849	-	12713	5672	4013	1659	14795
Tb927.8.1370	Tb927_08_v5.1	444971	445514	-	544	276	196	80	364
Tb927.8.1380	Tb927_08_v5.1	445971	447330	+	1360	797	636	161	1221
Tb927.8.1381	Tb927_08_v5.1	454111	454229	-	119	1155	929	226	1684
Tb927.8.1382	Tb927_08_v5.1	454846	454964	-	119	1028	815	213	1246
Tb927.8.1383	Tb927_08_v5.1	455582	455700	-	119	1052	828	224	1289
Tb927.8.1384	Tb927_08_v5.1	456318	456436	-	119	1170	942	228	1692
Tb927.8.1385	Tb927_08_v5.1	457054	457172	-	119	1180	934	246	1690
Tb927.8.1386	Tb927_08_v5.1	457790	457908	-	119	1139	917	222	1697
Tb927.8.1387	Tb927_08_v5.1	458526	458644	-	119	1180	953	227	1746
Tb927.8.1388	Tb927_08_v5.1	459261	459379	-	119	1049	821	228	1478
Tb927.8.1389	Tb927_08_v5.1	460411	460441	-	31	236	149	87	274
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	665	385	280	926
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	403	281	122	472
Tb927.8.1410	Tb927_08_v5.1	464007	466752	+	2746	520	378	142	3196
Tb927.8.1420	Tb927_08_v5.1	466574	468329	+	1756	1368	1030	338	5504
Tb927.8.1430	Tb927_08_v5.1	468547	469069	+	523	25	15	10	52
Tb927.8.1440	Tb927_08_v5.1	469240	470168	+	929	260	144	116	310
Tb927.8.1450	Tb927_08_v5.1	470342	471897	+	1556	229	188	41	1041
Tb927.8.1460	Tb927_08_v5.1	472418	474552	+	2135	1228	1045	183	5062
Tb927.8.1470	Tb927_08_v5.1	475840	477798	+	1959	1287	854	433	1753
Tb927.8.1480	Tb927_08_v5.1	478006	485829	+	7824	2992	2277	715	6373
Tb927.8.1490	Tb927_08_v5.1	485964	486506	+	543	54	18	36	134
Tb927.8.1500	Tb927_08_v5.1	487214	490779	+	3566	2176	1678	498	6058
Tb927.8.1510	Tb927_08_v5.1	490250	494620	+	4371	1302	1012	290	2483
Tb927.8.1520	Tb927_08_v5.1	494959	496260	+	1302	797	533	264	2084
Tb927.8.1530	Tb927_08_v5.1	496560	499061	+	2502	350	276	74	1183
Tb927.8.1540	Tb927_08_v5.1	499185	501987	+	2803	1016	729	287	2950
Tb927.8.1550	Tb927_08_v5.1	502944	505552	+	2609	1799	1198	601	3527
Tb927.8.1560	Tb927_08_v5.1	507863	510107	+	2245	314	257	57	905
Tb927.8.1570	Tb927_08_v5.1	510700	512565	+	1866	352	329	23	1674
Tb927.8.1580	Tb927_08_v5.1	513888	515874	+	1987	1430	742	688	1674
Tb927.8.1590	Tb927_08_v5.1	516038	530691	+	14654	6434	4831	1603	19431
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	530856;531301	533364;533364	+;+	2509	1570	1302	268	3116
Tb927_08_v4.snoRNA.0025	Tb927_08_v5.1	533529	533606	+	78	73	29	44	83
Tb927_08_v4.snoRNA.0016	Tb927_08_v5.1	533634	533716	+	83	20	20	0	20
Tb927_08_v4.snoRNA.0006	Tb927_08_v5.1	533809	533882	+	74	9	7	2	10
Tb927_08_v4.snoRNA.0001	Tb927_08_v5.1	533918	534035	+	118	139	125	14	226
Tb927_08_v4.snoRNA.0026	Tb927_08_v5.1	534178	534255	+	78	60	14	46	76
Tb927_08_v4.snoRNA.0017	Tb927_08_v5.1	534283	534365	+	83	29	27	2	30
Tb927_08_v4.snoRNA.0007	Tb927_08_v5.1	534458	534531	+	74	12	8	4	13
Tb927_08_v4.snoRNA.0002	Tb927_08_v5.1	534567	534684	+	118	62	58	4	77
Tb927_08_v4.snoRNA.0027	Tb927_08_v5.1	534827	534904	+	78	56	12	44	69
Tb927_08_v4.snoRNA.0018	Tb927_08_v5.1	534932	535014	+	83	24	21	3	28
Tb927_08_v4.snoRNA.0008	Tb927_08_v5.1	535107	535180	+	74	6	6	0	6
Tb927_08_v4.snoRNA.0003	Tb927_08_v5.1	535216	535333	+	118	129	119	10	233
Tb927_08_v4.snoRNA.0028	Tb927_08_v5.1	535476	535553	+	78	59	19	40	66
Tb927_08_v4.snoRNA.0019	Tb927_08_v5.1	535581	535663	+	83	18	14	4	19
Tb927_08_v4.snoRNA.0009	Tb927_08_v5.1	535756	535829	+	74	7	7	0	7
Tb927_08_v4.snoRNA.0004	Tb927_08_v5.1	535865	535982	+	118	57	53	4	68
Tb927_08_v4.snoRNA.0029	Tb927_08_v5.1	536125	536202	+	78	72	20	52	91
Tb927_08_v4.snoRNA.0020	Tb927_08_v5.1	536230	536312	+	83	27	22	5	27
Tb927_08_v4.snoRNA.0010	Tb927_08_v5.1	536405	536478	+	74	8	7	1	8
Tb927_08_v4.snoRNA.0005	Tb927_08_v5.1	536514	536631	+	118	84	79	5	166
Tb927_08_v4.snoRNA.0030	Tb927_08_v5.1	536774	536851	+	78	23	12	11	27
Tb927_08_v4.snoRNA.0021	Tb927_08_v5.1	536879	536961	+	83	21	17	4	26
Tb927.8.1610	Tb927_08_v5.1	537132	538806	+	1675	1305	930	375	2021
Tb927.8.1620	Tb927_08_v5.1	539325	541194	+	1870	1506	1149	357	2334
Tb927.8.1630	Tb927_08_v5.1	541518	543592	+	2075	1624	1266	358	2657
Tb927.8.1640	Tb927_08_v5.1	543711	546361	+	2651	1597	1243	354	2444
Tb927.8.1650	Tb927_08_v5.1	545906	548434	+	2529	605	535	70	2613
Tb927_08_v4.snoRNA.0011	Tb927_08_v5.1	549674	549769	+	96	2	2	0	2
Tb927_08_v4.snoRNA.0012	Tb927_08_v5.1	549815	549881	+	67	13	10	3	14
Tb927_08_v4.snoRNA.0031	Tb927_08_v5.1	549933	550026	+	94	30	28	2	37
Tb927_08_v4.snoRNA.0015	Tb927_08_v5.1	550193	550259	+	67	32	28	4	51
Tb927_08_v4.snoRNA.0033	Tb927_08_v5.1	550311	550404	+	94	20	17	3	22
Tb927_08_v4.snoRNA.0013	Tb927_08_v5.1	550571	550637	+	67	47	38	9	242
Tb927_08_v4.snoRNA.0032	Tb927_08_v5.1	550689	550782	+	94	33	25	8	41
Tb927_08_v4.snoRNA.0014	Tb927_08_v5.1	550949	551015	+	67	17	13	4	35
Tb927.8.1660	Tb927_08_v5.1	552495	552753	+	259	317	229	88	2661
Tb927.8.1665	Tb927_08_v5.1	555012	557581	-	2570	1048	883	165	3490
Tb927.8.1670	Tb927_08_v5.1	558245	560376	-	2132	727	629	98	1708
Tb927.8.1680	Tb927_08_v5.1	560516	561559	-	1044	394	321	73	656
Tb927.8.1690	Tb927_08_v5.1	561674	564289	-	2616	500	467	33	1836
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566839;567149	-;-	2370	507	441	66	1302
Tb927.8.1710	Tb927_08_v5.1	567268	569337	-	2070	1216	850	366	2283
Tb927.8.1720	Tb927_08_v5.1	569436	572297	-	2862	1116	712	404	1607
Tb927.8.1730	Tb927_08_v5.1	572606	573019	-	414	400	297	103	592
Tb927.8.1740	Tb927_08_v5.1	573200	575944	-	2745	671	557	114	1560
Tb927.8.1750	Tb927_08_v5.1	576397	577010	-	614	71	63	8	452
Tb927.8.1760	Tb927_08_v5.1	576941	577904	-	964	65	57	8	71
Tb927.8.1770	Tb927_08_v5.1	577615	581715	-	4101	1812	1433	379	3214
Tb927.8.1780	Tb927_08_v5.1	581859	587851	-	5993	2644	2061	583	8303
Tb927.8.1790	Tb927_08_v5.1	588516	589644	-	1129	157	135	22	214
Tb927.8.1800	Tb927_08_v5.1	589559	591527	-	1969	1500	958	542	4057
Tb927.8.1810	Tb927_08_v5.1	591914	592911	-	998	447	399	48	680
Tb927.8.1820	Tb927_08_v5.1	593024	594551	-	1528	587	455	132	1375
Tb927.8.1830	Tb927_08_v5.1	594809	596615	-	1807	681	644	37	2075
Tb927.8.1840	Tb927_08_v5.1	596740	603777	-	7038	2599	2015	584	5000
Tb927.8.1850	Tb927_08_v5.1	603912	605492	-	1581	327	239	88	1038
Tb927.8.1860	Tb927_08_v5.1	605805	608991	-	3187	2547	1361	1186	5033
Tb927.8.1870	Tb927_08_v5.1	610427	612542	-	2116	212	141	71	669
Tb927.8.1880	Tb927_08_v5.1	612682	613543	-	862	1001	875	126	4322
Tb927.8.1890	Tb927_08_v5.1	613650	615425	-	1776	1459	1015	444	4117
Tb927.8.1900	Tb927_08_v5.1	615577	617486	-	1910	165	121	44	797
Tb927.8.1910	Tb927_08_v5.1	617619	619799	-	2181	590	457	133	1423
Tb927.8.1920	Tb927_08_v5.1	619932	620945	-	1014	42	22	20	63
Tb927.8.1930	Tb927_08_v5.1	621083	621943	-	861	3	1	2	15
Tb927.8.1940	Tb927_08_v5.1	622032	624115	-	2084	55	22	33	287
Tb927.8.1945	Tb927_08_v5.1	626529	626988	+	460	254	127	127	302
Tb927.8.1950	Tb927_08_v5.1	627247	629565	+	2319	673	548	125	1042
Tb927.8.1960	Tb927_08_v5.1	629729	631101	+	1373	462	426	36	1203
Tb927.8.1970	Tb927_08_v5.1	631237	632303	+	1067	389	355	34	964
Tb927.8.1980	Tb927_08_v5.1	632474	634163	+	1690	706	599	107	2799
Tb927.8.1990	Tb927_08_v5.1	634099	635163	+	1065	134	122	12	428
Tb927.8.2000	Tb927_08_v5.1	635321	636120	+	800	725	642	83	2232
Tb927.8.2010	Tb927_08_v5.1	636394	637062	+	669	672	269	403	923
Tb927.8.2020	Tb927_08_v5.1	637229	638533	+	1305	626	331	295	1629
Tb927.8.2030	Tb927_08_v5.1	638651	640119	+	1469	466	392	74	1516
Tb927.8.2040	Tb927_08_v5.1	640593	642333	+	1741	1398	713	685	1867
Tb927.8.2050	Tb927_08_v5.1	642480	643754	+	1275	295	274	21	7339
Tb927.8.2060	Tb927_08_v5.1	644161	653337	+	9177	5093	3602	1491	12833
Tb927_08_v4.snoRNA.0022	Tb927_08_v5.1	653501	653583	+	83	56	31	25	65
Tb927_08_v4.snoRNA.0035	Tb927_08_v5.1	653618	653704	+	87	78	59	19	79
Tb927_08_v4.snoRNA.0037	Tb927_08_v5.1	653762	653843	+	82	40	27	13	42
Tb927_08_v4.snoRNA.0040	Tb927_08_v5.1	654055	654119	+	65	53	44	9	77
Tb927.8.2070	Tb927_08_v5.1	654313	654964	+	652	231	171	60	244
Tb927_08_v4.snoRNA.0041	Tb927_08_v5.1	655717	655781	+	65	39	36	3	50
Tb927.8.2080	Tb927_08_v5.1	655975	656584	+	610	301	140	161	465
Tb927_08_v4.snoRNA.0023	Tb927_08_v5.1	657195	657277	+	83	132	114	18	256
Tb927_08_v4.snoRNA.0036	Tb927_08_v5.1	657312	657398	+	87	110	94	16	158
Tb927_08_v4.snoRNA.0038	Tb927_08_v5.1	657456	657537	+	82	181	168	13	263
Tb927.8.2090	Tb927_08_v5.1	657734	658456	+	723	458	363	95	1101
Tb927.8.2100	Tb927_08_v5.1	658648	659149	+	502	68	67	1	641
Tb927.8.2110	Tb927_08_v5.1	659735	661241	+	1507	245	226	19	2593
Tb927.8.2120	Tb927_08_v5.1	661416	662811	+	1396	782	479	303	1427
Tb927.8.2130	Tb927_08_v5.1	662944	664613	+	1670	818	680	138	5700
Tb927.8.2140	Tb927_08_v5.1	665104	665812	+	709	167	111	56	188
Tb927.8.2150	Tb927_08_v5.1	666282	667505	+	1224	147	69	78	382
Tb927.8.2160	Tb927_08_v5.1	667647	673216	+	5570	2463	1656	807	4636
Tb927.8.2170	Tb927_08_v5.1	673583	673919	+	337	245	196	49	466
Tb927.8.2180	Tb927_08_v5.1	674219	674976	+	758	196	139	57	569
Tb927.8.2185	Tb927_08_v5.1	675099	675515	+	417	30	6	24	31
Tb927.8.2190	Tb927_08_v5.1	675639	676274	+	636	76	40	36	96
Tb927.8.2200	Tb927_08_v5.1	676377	677388	+	1012	255	194	61	1143
Tb927.8.2210	Tb927_08_v5.1	677827	678743	+	917	461	400	61	1545
Tb927.8.2220	Tb927_08_v5.1	679691	684449	+	4759	2433	1880	553	9699
Tb927.8.2230	Tb927_08_v5.1	684910	685950	+	1041	313	284	29	728
Tb927.8.2240	Tb927_08_v5.1	686457	687904	+	1448	633	497	136	953
Tb927.8.2250	Tb927_08_v5.1	688087	690689	+	2603	1058	808	250	1923
Tb927_08_v4.snoRNA.0024	Tb927_08_v5.1	691295	691377	+	83	19	9	10	19
Tb927_08_v4.snoRNA.0034	Tb927_08_v5.1	691412	691498	+	87	33	25	8	34
Tb927_08_v4.snoRNA.0039	Tb927_08_v5.1	691556	691637	+	82	33	25	8	35
Tb927_08_v4.snoRNA.0042	Tb927_08_v5.1	691849	691913	+	65	47	30	17	68
Tb927.8.2260	Tb927_08_v5.1	692107	693116	+	1010	917	736	181	1359
Tb927_08_v4.snoRNA.0043	Tb927_08_v5.1	693512	693576	+	65	15	15	0	17
Tb927.8.2270	Tb927_08_v5.1	693770	694421	+	652	336	268	68	573
Tb927_08_v4.snoRNA.0044	Tb927_08_v5.1	695175	695239	+	65	29	27	2	29
Tb927.8.2280	Tb927_08_v5.1	695433	696930	+	1498	1233	1035	198	2205
Tb927.8.2290	Tb927_08_v5.1	696623	697976	+	1354	365	294	71	497
Tb927.8.2300	Tb927_08_v5.1	698120	699347	+	1228	566	432	134	1001
Tb927.8.2310	Tb927_08_v5.1	699459	699962	+	504	259	238	21	324
Tb927.8.2320	Tb927_08_v5.1	700426	701455	+	1030	231	207	24	363
Tb927.8.2330	Tb927_08_v5.1	701043	703234	+	2192	287	260	27	342
