# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-B" "-C" "-M" "-T" "8" "-t" "transcript" "-g" "gene_id" "-a" "/tmp/13003737.1.all.q/genomes/tb927_3/tb927_3.gtf" "-o" "/tmp/13003737.1.all.q/CM03_D_LG_S3/counts.txt" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_F_plus_R.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_WO.bam" "/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_F_plus_R.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted_dedup_WO.bam	/tmp/13003737.1.all.q/CM03_D_LG_S3/S3_sorted.bam
Tb927.8.430	Tb927_08_v5.1	115234	116694	+	1461	18	18	0	24
Tb927.8.440	Tb927_08_v5.1	118408	119911	+	1504	224	213	11	851
Tb927.8.443	Tb927_08_v5.1	122247	122382	-	136	369	277	92	821
Tb927.8.446	Tb927_08_v5.1	122700	122777	-	78	0	0	0	0
Tb927.8.449	Tb927_08_v5.1	123108	123290	-	183	219	194	25	367
Tb927.8.450	Tb927_08_v5.1	124234	125246	+	1013	46	18	28	47
Tb927.8.460	Tb927_08_v5.1	125412	126989	+	1578	900	299	601	1081
Tb927.8.470	Tb927_08_v5.1	129542	135147	+	5606	1378	953	425	3898
Tb927.8.480	Tb927_08_v5.1	135693	137806	-	2114	1004	681	323	2955
Tb927.8.490	Tb927_08_v5.1	138767	139630	-	864	0	0	0	0
Tb927.8.500	Tb927_08_v5.1	139718	140745	-	1028	2	2	0	13
Tb927.8.510	Tb927_08_v5.1	141813	142640	-	828	4	4	0	40
Tb927.8.520	Tb927_08_v5.1	142728	148012	-	5285	1899	904	995	8665
Tb927.8.530	Tb927_08_v5.1	148507	151486	-	2980	0	0	0	0
Tb927.8.540	Tb927_08_v5.1	149978	159001	-	9024	7932	3657	4275	29367
Tb927.8.550	Tb927_08_v5.1	159308	160440	-	1133	473	447	26	1736
Tb927.8.560	Tb927_08_v5.1	160542	162621	-	2080	555	507	48	7038
Tb927.8.570	Tb927_08_v5.1	162763	164349	-	1587	948	566	382	3360
Tb927.8.580	Tb927_08_v5.1	164471	165702	-	1232	1	1	0	1
Tb927.8.590	Tb927_08_v5.1	165814	169182	-	3369	322	271	51	1225
Tb927.8.595	Tb927_08_v5.1	169313	169788	-	476	579	252	327	1006
Tb927.8.600	Tb927_08_v5.1	169873	171080	-	1208	45	44	1	2190
Tb8.NT.8	Tb927_08_v5.1	171178	171709	-	532	0	0	0	0
Tb927.8.610	Tb927_08_v5.1	171816	175081	-	3266	4428	1432	2996	12189
Tb927.8.620	Tb927_08_v5.1	175193	176691	-	1499	594	177	417	2949
Tb927.8.630	Tb927_08_v5.1	176838	178436	-	1599	366	281	85	879
Tb927.8.640	Tb927_08_v5.1	178808	179191	-	384	1083	335	748	1706
Tb927.8.650	Tb927_08_v5.1	179692	183769	-	4078	2603	421	2182	5684
Tb927.8.660	Tb927_08_v5.1	184411	185403	-	993	239	92	147	266
Tb927.8.670	Tb927_08_v5.1	186156	188368	-	2213	622	310	312	966
Tb927.8.680	Tb927_08_v5.1	188501	189112	-	612	78	33	45	85
Tb8.NT.9	Tb927_08_v5.1	189238	189777	-	540	638	515	123	4404
Tb927.8.690	Tb927_08_v5.1	190302	190773	-	472	56	41	15	1487
Tb927.8.700	Tb927_08_v5.1	191287	195097	-	3811	3684	1441	2243	9204
Tb927.8.710	Tb927_08_v5.1	195245	200617	-	5373	949	543	406	9070
Tb8.NT.11	Tb927_08_v5.1	200670	202899	-	2230	931	423	508	5199
Tb927.8.720	Tb927_08_v5.1	203019	203947	-	929	1608	154	1454	2216
Tb927.8.730	Tb927_08_v5.1	204064	205432	-	1369	1019	615	404	1758
Tb927.8.740	Tb927_08_v5.1	205974	206494	-	521	0	0	0	0
Tb927.8.750	Tb927_08_v5.1	207159	208284	-	1126	575	469	106	2446
Tb927.8.760	Tb927_08_v5.1	208445	209932	-	1488	0	0	0	0
Tb927.8.770	Tb927_08_v5.1	210067	213373	-	3307	1443	841	602	4227
Tb927.8.780	Tb927_08_v5.1	213736	216939	-	3204	312	195	117	879
Tb927.8.790	Tb927_08_v5.1	216976	221800	-	4825	2995	1347	1648	7850
Tb927.8.800	Tb927_08_v5.1	223044	231003	-	7960	3643	2157	1486	12232
Tb927.8.810	Tb927_08_v5.1	230939	233135	-	2197	940	524	416	7336
Tb927.8.820	Tb927_08_v5.1	233284	235613	-	2330	1	0	1	1
Tb927.8.830	Tb927_08_v5.1	235597	241874	-	6278	1927	845	1082	3398
Tb927.8.840	Tb927_08_v5.1	242091	246359	-	4269	1597	616	981	4541
Tb927.8.850	Tb927_08_v5.1	247305	249646	-	2342	2963	1441	1522	6476
Tb927.8.860	Tb927_08_v5.1	249764	252350	-	2587	14	12	2	14
Tb927.8.870	Tb927_08_v5.1	252259	259664	-	7406	4399	2646	1753	14877
Tb927.8.880	Tb927_08_v5.1	259038	263937	-	4900	3501	2039	1462	9796
Tb927.8.890	Tb927_08_v5.1	264765	267007	-	2243	590	552	38	2847
Tb8.NT.13	Tb927_08_v5.1	267137	267403	-	267	357	278	79	740
Tb927.8.900	Tb927_08_v5.1	267542	271571	-	4030	2516	1644	872	9160
Tb927.8.910	Tb927_08_v5.1	272330	285554	-	13225	1387	1189	198	9957
Tb927.8.920	Tb927_08_v5.1	285749	286384	-	636	0	0	0	0
Tb927.8.930	Tb927_08_v5.1	287095	288555	-	1461	1821	970	851	3090
Tb927.8.940	Tb927_08_v5.1	288675	296405	-	7731	5225	3908	1317	12759
Tb927.8.950	Tb927_08_v5.1	297160	298982	-	1823	2097	1200	897	5346
Tb927.8.960	Tb927_08_v5.1	299102	306832	-	7731	5339	4006	1333	12778
Tb927.8.970	Tb927_08_v5.1	306968	309377	-	2410	2121	711	1410	4355
Tb927.8.980	Tb927_08_v5.1	309497	313499	-	4003	1547	896	651	4102
Tb927.8.990	Tb927_08_v5.1	316912	318340	-	1429	80	77	3	2106
Tb927.8.1000	Tb927_08_v5.1	318450	320266	-	1817	144	143	1	3427
Tb927.8.1010	Tb927_08_v5.1	320505	322488	-	1984	2	0	2	2
Tb927.8.1020	Tb927_08_v5.1	322613	326228	-	3616	3990	1829	2161	9523
Tb927.8.1030	Tb927_08_v5.1	326355	327866	-	1512	710	531	179	2255
Tb927.8.1040	Tb927_08_v5.1	328540	329257	-	718	605	505	100	4318
Tb927.8.1050	Tb927_08_v5.1	329013	338871	-	9859	6736	3784	2952	19458
Tb927.8.1060	Tb927_08_v5.1	339001	342165	-	3165	792	547	245	2972
Tb927.8.1070	Tb927_08_v5.1	342260	345192	-	2933	2452	1501	951	7043
Tb927.8.1080	Tb927_08_v5.1	345294	346578	-	1285	1310	764	546	3261
Tb927.8.1090	Tb927_08_v5.1	347671	350166	-	2496	2323	968	1355	4796
Tb927.8.1100	Tb927_08_v5.1	350373	355159	-	4787	2648	1248	1400	5262
Tb927.8.1110	Tb927_08_v5.1	355300	356303	-	1004	135	134	1	907
Tb927.8.1120	Tb927_08_v5.1	357038	357590	-	553	7	7	0	120
Tb927.8.1130	Tb927_08_v5.1	357788	364726	-	6939	27	24	3	878
Tb927.8.1140	Tb927_08_v5.1	364870	366299	-	1430	185	184	1	3242
Tb927.8.1150	Tb927_08_v5.1	366439	368626	-	2188	533	457	76	2252
Tb927.8.1160	Tb927_08_v5.1	369465	372912	-	3448	1743	1228	515	3817
Tb927.8.1170	Tb927_08_v5.1	373426	374487	-	1062	225	151	74	415
Tb927.8.1180	Tb927_08_v5.1	375186	379041	-	3856	1861	1350	511	5159
Tb927.8.1190	Tb927_08_v5.1	379555	380614	-	1060	343	263	80	715
Tb927.8.1200	Tb927_08_v5.1	381320	385491	-	4172	1966	1384	582	5481
Tb927.8.1210	Tb927_08_v5.1	385805	388023	-	2219	1763	1063	700	4967
Tb927.8.1220	Tb927_08_v5.1	388195	389215	-	1021	174	4	170	269
Tb927.8.1230	Tb927_08_v5.1	389413	390459	-	1047	839	655	184	6047
Tb927.8.1240	Tb927_08_v5.1	390667	393466	-	2800	2177	611	1566	4062
Tb927.8.1250	Tb927_08_v5.1	394308	396916	-	2609	294	285	9	2154
Tb927.8.1260	Tb927_08_v5.1	397029	400520	-	3492	3033	1088	1945	5385
Tb927.8.1270	Tb927_08_v5.1	401510	403005	-	1496	526	427	99	2117
Tb927.8.1280	Tb927_08_v5.1	403359	409909	-	6551	4229	1999	2230	11742
Tb927.8.1290	Tb927_08_v5.1	410088	417663	-	7576	4386	1904	2482	15453
Tb8.NT.18	Tb927_08_v5.1	417773	418533	-	761	624	538	86	3948
Tb927.8.1300	Tb927_08_v5.1	419694	422815	-	3122	1575	696	879	3378
Tb927.8.1305	Tb927_08_v5.1	423631	423747	-	117	167	158	9	1062
Tb927.8.1310	Tb927_08_v5.1	423870	425679	-	1810	2321	887	1434	4690
Tb927.8.1320	Tb927_08_v5.1	425782	428007	-	2226	2017	615	1402	4872
Tb927.8.1330	Tb927_08_v5.1	428131	429091	-	961	35	35	0	64
Tb927.8.1340	Tb927_08_v5.1	429236	430167	-	932	0	0	0	0
Tb927.8.1350	Tb927_08_v5.1	430515	431747	-	1233	1	0	1	1
Tb927.8.1360	Tb927_08_v5.1	432137	444849	-	12713	5560	2697	2863	12699
Tb927.8.1370	Tb927_08_v5.1	444971	445514	-	544	0	0	0	0
Tb927.8.1380	Tb927_08_v5.1	445971	447330	+	1360	1379	572	807	3537
Tb927.8.1381	Tb927_08_v5.1	454111	454229	-	119	1008	733	275	1652
Tb927.8.1382	Tb927_08_v5.1	454846	454964	-	119	784	562	222	1078
Tb927.8.1383	Tb927_08_v5.1	455582	455700	-	119	803	572	231	1135
Tb927.8.1384	Tb927_08_v5.1	456318	456436	-	119	1003	744	259	1636
Tb927.8.1385	Tb927_08_v5.1	457054	457172	-	119	1047	744	303	1653
Tb927.8.1386	Tb927_08_v5.1	457790	457908	-	119	1007	719	288	1598
Tb927.8.1387	Tb927_08_v5.1	458526	458644	-	119	1041	752	289	1665
Tb927.8.1388	Tb927_08_v5.1	459261	459379	-	119	1133	767	366	1962
Tb927.8.1389	Tb927_08_v5.1	460411	460441	-	31	498	223	275	959
Tb927.8.1390	Tb927_08_v5.1	460827	461729	+	903	1737	396	1341	4006
Tb927.8.1400	Tb927_08_v5.1	462702	463460	+	759	339	297	42	773
Tb927.8.1410	Tb927_08_v5.1	464007	466752	+	2746	28	25	3	685
Tb927.8.1420	Tb927_08_v5.1	466574	468329	+	1756	440	428	12	4629
Tb927.8.1430	Tb927_08_v5.1	468547	469069	+	523	16	15	1	289
Tb927.8.1440	Tb927_08_v5.1	469240	470168	+	929	0	0	0	0
Tb927.8.1450	Tb927_08_v5.1	470342	471897	+	1556	264	251	13	2001
Tb927.8.1460	Tb927_08_v5.1	472418	474552	+	2135	1879	1090	789	7121
Tb927.8.1470	Tb927_08_v5.1	475840	477798	+	1959	2997	934	2063	5206
Tb927.8.1480	Tb927_08_v5.1	478006	485829	+	7824	4235	2149	2086	14189
Tb927.8.1490	Tb927_08_v5.1	485964	486506	+	543	0	0	0	0
Tb927.8.1500	Tb927_08_v5.1	487214	490779	+	3566	1080	726	354	4251
Tb927.8.1510	Tb927_08_v5.1	490250	494620	+	4371	467	453	14	3472
Tb927.8.1520	Tb927_08_v5.1	494959	496260	+	1302	97	93	4	939
Tb927.8.1530	Tb927_08_v5.1	496560	499061	+	2502	306	272	34	658
Tb927.8.1540	Tb927_08_v5.1	499185	501987	+	2803	5096	1772	3324	14728
Tb927.8.1550	Tb927_08_v5.1	502944	505552	+	2609	1437	857	580	5465
Tb927.8.1560	Tb927_08_v5.1	507863	510107	+	2245	0	0	0	0
Tb927.8.1570	Tb927_08_v5.1	510700	512565	+	1866	246	234	12	2328
Tb927.8.1580	Tb927_08_v5.1	513888	515874	+	1987	4645	1895	2750	9961
Tb927.8.1590	Tb927_08_v5.1	516038	530691	+	14654	3897	2371	1526	13530
Tb927.8.1600	Tb927_08_v5.1;Tb927_08_v5.1	530856;531301	533364;533364	+;+	2509	48	47	1	1319
Tb927_08_v4.snoRNA.0025	Tb927_08_v5.1	533529	533606	+	78	79	1	78	122
Tb927_08_v4.snoRNA.0016	Tb927_08_v5.1	533634	533716	+	83	53	45	8	75
Tb927_08_v4.snoRNA.0006	Tb927_08_v5.1	533809	533882	+	74	24	20	4	30
Tb927_08_v4.snoRNA.0001	Tb927_08_v5.1	533918	534035	+	118	330	291	39	601
Tb927_08_v4.snoRNA.0026	Tb927_08_v5.1	534178	534255	+	78	112	0	112	184
Tb927_08_v4.snoRNA.0017	Tb927_08_v5.1	534283	534365	+	83	58	45	13	72
Tb927_08_v4.snoRNA.0007	Tb927_08_v5.1	534458	534531	+	74	22	21	1	24
Tb927_08_v4.snoRNA.0002	Tb927_08_v5.1	534567	534684	+	118	171	156	15	275
Tb927_08_v4.snoRNA.0027	Tb927_08_v5.1	534827	534904	+	78	112	4	108	165
Tb927_08_v4.snoRNA.0018	Tb927_08_v5.1	534932	535014	+	83	64	46	18	85
Tb927_08_v4.snoRNA.0008	Tb927_08_v5.1	535107	535180	+	74	17	16	1	21
Tb927_08_v4.snoRNA.0003	Tb927_08_v5.1	535216	535333	+	118	333	290	43	575
Tb927_08_v4.snoRNA.0028	Tb927_08_v5.1	535476	535553	+	78	98	4	94	144
Tb927_08_v4.snoRNA.0019	Tb927_08_v5.1	535581	535663	+	83	56	40	16	75
Tb927_08_v4.snoRNA.0009	Tb927_08_v5.1	535756	535829	+	74	13	10	3	15
Tb927_08_v4.snoRNA.0004	Tb927_08_v5.1	535865	535982	+	118	163	141	22	279
Tb927_08_v4.snoRNA.0029	Tb927_08_v5.1	536125	536202	+	78	94	1	93	161
Tb927_08_v4.snoRNA.0020	Tb927_08_v5.1	536230	536312	+	83	54	39	15	69
Tb927_08_v4.snoRNA.0010	Tb927_08_v5.1	536405	536478	+	74	18	17	1	19
Tb927_08_v4.snoRNA.0005	Tb927_08_v5.1	536514	536631	+	118	208	183	25	336
Tb927_08_v4.snoRNA.0030	Tb927_08_v5.1	536774	536851	+	78	25	0	25	34
Tb927_08_v4.snoRNA.0021	Tb927_08_v5.1	536879	536961	+	83	10	10	0	10
Tb927.8.1610	Tb927_08_v5.1	537132	538806	+	1675	1288	661	627	1843
Tb927.8.1620	Tb927_08_v5.1	539325	541194	+	1870	1586	967	619	2339
Tb927.8.1630	Tb927_08_v5.1	541518	543592	+	2075	1698	1021	677	3431
Tb927.8.1640	Tb927_08_v5.1	543711	546361	+	2651	1700	1066	634	2395
Tb927.8.1650	Tb927_08_v5.1	545906	548434	+	2529	373	359	14	3728
Tb927_08_v4.snoRNA.0011	Tb927_08_v5.1	549674	549769	+	96	13	0	13	14
Tb927_08_v4.snoRNA.0012	Tb927_08_v5.1	549815	549881	+	67	5	0	5	6
Tb927_08_v4.snoRNA.0031	Tb927_08_v5.1	549933	550026	+	94	15	12	3	15
Tb927_08_v4.snoRNA.0015	Tb927_08_v5.1	550193	550259	+	67	16	1	15	16
Tb927_08_v4.snoRNA.0033	Tb927_08_v5.1	550311	550404	+	94	24	24	0	29
Tb927_08_v4.snoRNA.0013	Tb927_08_v5.1	550571	550637	+	67	5	1	4	5
Tb927_08_v4.snoRNA.0032	Tb927_08_v5.1	550689	550782	+	94	63	55	8	96
Tb927_08_v4.snoRNA.0014	Tb927_08_v5.1	550949	551015	+	67	0	0	0	0
Tb927.8.1660	Tb927_08_v5.1	552495	552753	+	259	708	165	543	969
Tb927.8.1665	Tb927_08_v5.1	555012	557581	-	2570	555	535	20	3648
Tb927.8.1670	Tb927_08_v5.1	558245	560376	-	2132	171	160	11	1139
Tb927.8.1680	Tb927_08_v5.1	560516	561559	-	1044	107	105	2	559
Tb927.8.1690	Tb927_08_v5.1	561674	564289	-	2616	406	362	44	1976
Tb927.8.1700	Tb927_08_v5.1;Tb927_08_v5.1	564780;564780	566839;567149	-;-	2370	1345	555	790	3109
Tb927.8.1710	Tb927_08_v5.1	567268	569337	-	2070	3188	669	2519	5735
Tb927.8.1720	Tb927_08_v5.1	569436	572297	-	2862	1	0	1	1
Tb927.8.1730	Tb927_08_v5.1	572606	573019	-	414	0	0	0	0
Tb927.8.1740	Tb927_08_v5.1	573200	575944	-	2745	1805	795	1010	4081
Tb927.8.1750	Tb927_08_v5.1	576397	577010	-	614	1	0	1	1
Tb927.8.1760	Tb927_08_v5.1	576941	577904	-	964	149	143	6	218
Tb927.8.1770	Tb927_08_v5.1	577615	581715	-	4101	4847	2774	2073	13316
Tb927.8.1780	Tb927_08_v5.1	581859	587851	-	5993	6132	3026	3106	18615
Tb927.8.1790	Tb927_08_v5.1	588516	589644	-	1129	209	193	16	1170
Tb927.8.1800	Tb927_08_v5.1	589559	591527	-	1969	1277	834	443	4223
Tb927.8.1810	Tb927_08_v5.1	591914	592911	-	998	1280	671	609	6654
Tb927.8.1820	Tb927_08_v5.1	593024	594551	-	1528	381	374	7	2465
Tb927.8.1830	Tb927_08_v5.1	594809	596615	-	1807	0	0	0	0
Tb927.8.1840	Tb927_08_v5.1	596740	603777	-	7038	2492	1585	907	10371
Tb927.8.1850	Tb927_08_v5.1	603912	605492	-	1581	1597	643	954	3651
Tb927.8.1860	Tb927_08_v5.1	605805	608991	-	3187	4803	723	4080	9130
Tb927.8.1870	Tb927_08_v5.1	610427	612542	-	2116	1311	255	1056	1753
Tb927.8.1880	Tb927_08_v5.1	612682	613543	-	862	1259	973	286	6935
Tb927.8.1890	Tb927_08_v5.1	613650	615425	-	1776	1329	721	608	3985
Tb927.8.1900	Tb927_08_v5.1	615577	617486	-	1910	66	66	0	1702
Tb927.8.1910	Tb927_08_v5.1	617619	619799	-	2181	95	91	4	188
Tb927.8.1920	Tb927_08_v5.1	619932	620945	-	1014	444	115	329	495
Tb927.8.1930	Tb927_08_v5.1	621083	621943	-	861	0	0	0	0
Tb927.8.1940	Tb927_08_v5.1	622032	624115	-	2084	0	0	0	0
Tb927.8.1945	Tb927_08_v5.1	626529	626988	+	460	1	0	1	1
Tb927.8.1950	Tb927_08_v5.1	627247	629565	+	2319	2	2	0	49
Tb927.8.1960	Tb927_08_v5.1	629729	631101	+	1373	0	0	0	0
Tb927.8.1970	Tb927_08_v5.1	631237	632303	+	1067	0	0	0	0
Tb927.8.1980	Tb927_08_v5.1	632474	634163	+	1690	0	0	0	0
Tb927.8.1990	Tb927_08_v5.1	634099	635163	+	1065	281	276	5	2030
Tb927.8.2000	Tb927_08_v5.1	635321	636120	+	800	705	600	105	2881
Tb927.8.2010	Tb927_08_v5.1	636394	637062	+	669	835	269	566	1427
Tb927.8.2020	Tb927_08_v5.1	637229	638533	+	1305	11	11	0	336
Tb927.8.2030	Tb927_08_v5.1	638651	640119	+	1469	2236	1012	1224	5514
Tb927.8.2040	Tb927_08_v5.1	640593	642333	+	1741	2718	943	1775	5808
Tb927.8.2050	Tb927_08_v5.1	642480	643754	+	1275	254	251	3	6668
Tb927.8.2060	Tb927_08_v5.1	644161	653337	+	9177	8415	3238	5177	21119
Tb927_08_v4.snoRNA.0022	Tb927_08_v5.1	653501	653583	+	83	355	126	229	740
Tb927_08_v4.snoRNA.0035	Tb927_08_v5.1	653618	653704	+	87	343	312	31	950
Tb927_08_v4.snoRNA.0037	Tb927_08_v5.1	653762	653843	+	82	171	9	162	175
Tb927_08_v4.snoRNA.0040	Tb927_08_v5.1	654055	654119	+	65	190	81	109	262
Tb927.8.2070	Tb927_08_v5.1	654313	654964	+	652	109	40	69	139
Tb927_08_v4.snoRNA.0041	Tb927_08_v5.1	655717	655781	+	65	71	71	0	105
Tb927.8.2080	Tb927_08_v5.1	655975	656584	+	610	0	0	0	0
Tb927_08_v4.snoRNA.0023	Tb927_08_v5.1	657195	657277	+	83	27	26	1	74
Tb927_08_v4.snoRNA.0036	Tb927_08_v5.1	657312	657398	+	87	59	59	0	102
Tb927_08_v4.snoRNA.0038	Tb927_08_v5.1	657456	657537	+	82	7	0	7	7
Tb927.8.2090	Tb927_08_v5.1	657734	658456	+	723	18	17	1	859
Tb927.8.2100	Tb927_08_v5.1	658648	659149	+	502	56	55	1	1800
Tb927.8.2110	Tb927_08_v5.1	659735	661241	+	1507	48	46	2	933
Tb927.8.2120	Tb927_08_v5.1	661416	662811	+	1396	3833	1050	2783	10759
Tb927.8.2130	Tb927_08_v5.1	662944	664613	+	1670	3875	918	2957	8297
Tb927.8.2140	Tb927_08_v5.1	665104	665812	+	709	0	0	0	0
Tb927.8.2150	Tb927_08_v5.1	666282	667505	+	1224	44	3	41	1748
Tb927.8.2160	Tb927_08_v5.1	667647	673216	+	5570	2417	1172	1245	6531
Tb927.8.2170	Tb927_08_v5.1	673583	673919	+	337	248	245	3	1586
Tb927.8.2180	Tb927_08_v5.1	674219	674976	+	758	7	7	0	93
Tb927.8.2185	Tb927_08_v5.1	675099	675515	+	417	0	0	0	0
Tb927.8.2190	Tb927_08_v5.1	675639	676274	+	636	1120	336	784	1880
Tb927.8.2200	Tb927_08_v5.1	676377	677388	+	1012	1079	318	761	2546
Tb927.8.2210	Tb927_08_v5.1	677827	678743	+	917	24	18	6	760
Tb927.8.2220	Tb927_08_v5.1	679691	684449	+	4759	2478	1127	1351	7370
Tb927.8.2230	Tb927_08_v5.1	684910	685950	+	1041	536	446	90	1750
Tb927.8.2240	Tb927_08_v5.1	686457	687904	+	1448	0	0	0	0
Tb927.8.2250	Tb927_08_v5.1	688087	690689	+	2603	227	201	26	340
Tb927_08_v4.snoRNA.0024	Tb927_08_v5.1	691295	691377	+	83	27	27	0	65
Tb927_08_v4.snoRNA.0034	Tb927_08_v5.1	691412	691498	+	87	12	6	6	12
Tb927_08_v4.snoRNA.0039	Tb927_08_v5.1	691556	691637	+	82	158	18	140	161
Tb927_08_v4.snoRNA.0042	Tb927_08_v5.1	691849	691913	+	65	169	82	87	240
Tb927.8.2260	Tb927_08_v5.1	692107	693116	+	1010	2042	1304	738	3916
Tb927_08_v4.snoRNA.0043	Tb927_08_v5.1	693512	693576	+	65	65	64	1	109
Tb927.8.2270	Tb927_08_v5.1	693770	694421	+	652	280	208	72	447
Tb927_08_v4.snoRNA.0044	Tb927_08_v5.1	695175	695239	+	65	70	68	2	115
Tb927.8.2280	Tb927_08_v5.1	695433	696930	+	1498	2515	1679	836	5651
Tb927.8.2290	Tb927_08_v5.1	696623	697976	+	1354	999	590	409	3257
Tb927.8.2300	Tb927_08_v5.1	698120	699347	+	1228	490	447	43	3797
Tb927.8.2310	Tb927_08_v5.1	699459	699962	+	504	511	448	63	1858
Tb927.8.2320	Tb927_08_v5.1	700426	701455	+	1030	1	0	1	1
Tb927.8.2330	Tb927_08_v5.1	701043	703234	+	2192	152	146	6	313
